#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     49.9926     49.9926           0
           2          50     49.9963  0.00260781
           3          50     49.9975  0.00200749
           4          50     49.9982  0.00159695
           5          50     49.9985  0.00131946
           6          50     49.9988  0.00112222
           7          50     49.9989  0.00097555
           8          50     49.9991 0.000862452
           9          50     49.9992 0.000772684
          10          50     49.9993 0.000699749
          11          50     49.9993  0.00063934
          12          50     49.9994 0.000588499
          13          50     49.9994 0.000545126
          14          50     49.9995 0.000507692
          15          50     49.9995  0.00047506
          16          50     49.9995 0.000446361
          17          50     49.9996 0.000420928
          18          50     49.9996 0.000398232
          19          50     49.9996 0.000377856
          20          50     49.9996 0.000359462
