#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         148    -5.44801    -5.44785 8.80648e-05
         149     -5.4469    -5.44785 8.77086e-05
         150    -5.44921    -5.44786 8.75927e-05
         151    -5.44803    -5.44786   8.702e-05
         152    -5.44774    -5.44786 8.64511e-05
         153    -5.44644    -5.44785 8.63832e-05
         154    -5.44848    -5.44785 8.59188e-05
         155    -5.44796    -5.44785 8.53673e-05
         156    -5.44836    -5.44786 8.48824e-05
         157    -5.44707    -5.44785 8.44884e-05
         158    -5.44847    -5.44786 8.40456e-05
         159    -5.44781    -5.44785 8.35175e-05
         160    -5.44654    -5.44785 8.33974e-05
         161    -5.44689    -5.44784 8.30908e-05
         162    -5.44675    -5.44783 8.28503e-05
         163    -5.44715    -5.44783 8.24485e-05
         164    -5.44747    -5.44783 8.19756e-05
         165     -5.4451    -5.44781 8.31284e-05
         166    -5.44883    -5.44782 8.28526e-05
