#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.11126    -5.02592  0.00315654
         153    -5.04377    -5.02604  0.00313807
         154    -4.99173    -5.02582  0.00312559
         155     -4.9948    -5.02562  0.00311183
         156    -5.04214    -5.02572  0.00309368
         157    -5.05967    -5.02594  0.00308152
         158    -5.10832    -5.02646  0.00310582
         159    -5.02543    -5.02645  0.00308629
         160    -5.08537    -5.02682  0.00308889
         161    -4.96799    -5.02646  0.00309124
         162    -5.04975     -5.0266   0.0030755
         163     -5.0615    -5.02681  0.00306408
         164    -4.99419    -5.02662  0.00305185
         165    -5.02514    -5.02661  0.00303337
         166    -5.04391    -5.02671  0.00301688
         167    -5.04328    -5.02681  0.00300045
         168      -4.992     -5.0266  0.00298974
         169    -5.00204    -5.02646  0.00297558
         170     -5.0552    -5.02663  0.00296287
         171    -5.05384    -5.02679  0.00294982
         172     -5.0491    -5.02692  0.00293552
         173    -4.96453    -5.02655  0.00294061
         174      -5.042    -5.02664  0.00292505
         175    -5.03928    -5.02672  0.00290923
         176    -5.08711    -5.02706  0.00291287
         177    -5.01906    -5.02701  0.00289676
         178     -5.0522    -5.02716  0.00288394
         179    -5.08299    -5.02747  0.00288465
         180    -5.01955    -5.02742  0.00286896
         181    -5.03023    -5.02744  0.00285315
         182    -5.01164    -5.02735  0.00283879
         183    -5.04491    -5.02745   0.0028249
         184    -5.04695    -5.02755  0.00281154
         185    -4.99154    -5.02736  0.00280307
         186    -5.00524    -5.02724  0.00279052
         187    -5.01798    -5.02719  0.00277604
         188    -5.05599    -5.02734  0.00276549
         189    -5.04031    -5.02741  0.00275171
         190    -5.00212    -5.02728  0.00274045
         191    -5.00762    -5.02718  0.00272803
         192    -4.99861    -5.02703  0.00271788
         193    -5.03818    -5.02709  0.00270441
         194    -5.04484    -5.02718  0.00269202
         195    -5.04892    -5.02729  0.00268052
         196    -4.99692    -5.02713  0.00267132
         197    -4.96054     -5.0268  0.00267906
         198    -5.01658    -5.02674  0.00266603
         199    -4.96705    -5.02644  0.00266945
         200    -5.02103    -5.02642  0.00265624
         201    -5.04444    -5.02651  0.00264454
         202    -5.00741    -5.02641  0.00263314
         203    -5.07815    -5.02667  0.00263247
         204    -5.08555    -5.02696  0.00263534
         205    -5.04787    -5.02706  0.00262446
         206    -5.10007    -5.02741  0.00263554
         207    -5.06671     -5.0276  0.00262964
         208    -5.06832     -5.0278  0.00262427
         209    -5.04248    -5.02787  0.00261266
         210    -5.07774    -5.02811  0.00261099
