#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.999704    0.999704           0
           2           1    0.999852 0.000104652
           3           1    0.999901  8.0561e-05
           4           1    0.999926 6.40859e-05
           5           1    0.999941 5.29501e-05
           6           1    0.999951  4.5035e-05
           7           1    0.999958  3.9149e-05
           8           1    0.999963 3.46103e-05
           9           1    0.999967 3.10079e-05
          10           1     0.99997  2.8081e-05
          11           1    0.999973 2.56568e-05
          12           1    0.999975 2.36165e-05
          13           1    0.999977  2.1876e-05
          14           1    0.999979 2.03738e-05
          15           1     0.99998 1.90642e-05
          16           1    0.999981 1.79125e-05
          17           1    0.999983 1.68919e-05
          18           1    0.999984 1.59811e-05
          19           1    0.999984 1.51634e-05
          20           1    0.999985 1.44253e-05
