Number_of_throws;Integral_value;Integral_error;sigma_value;sigma_error;Chi^2;prob_poisson
0;0.501685;0.00113951;0.0837232;0.000253775;8.57979e-06;8.57979e-08
0;0.501712;0.00112533;0.0836985;0.000251758;8.54542e-06;8.54542e-08
0;0.501896;0.00112621;0.0836932;0.000248647;8.52844e-06;8.52844e-08
0;0.501825;0.00111448;0.0836787;0.000245987;8.50538e-06;8.50538e-08
0;0.50158;0.00112763;0.0836142;0.00025138;8.46256e-06;8.46256e-08
0;0.501557;0.00111419;0.0836109;0.000248355;8.41906e-06;8.41906e-08
0;0.501375;0.00111586;0.0836137;0.000245397;8.36385e-06;8.36385e-08
0;0.501241;0.00111073;0.0835998;0.000242887;8.30171e-06;8.30171e-08
0;0.501197;0.00109864;0.083634;0.000242465;8.23849e-06;8.23849e-08
0;0.501336;0.00109486;0.0836132;0.000240559;8.18485e-06;8.18485e-08
0;0.501387;0.00108355;0.0836399;0.000239299;8.13558e-06;8.13558e-08
0;0.501342;0.00107226;0.0836279;0.000236899;8.08464e-06;8.08464e-08
0;0.501367;0.00106056;0.0836221;0.000234324;8.03631e-06;8.03631e-08
0;0.501434;0.00105099;0.0836534;0.000233848;7.99318e-06;7.99318e-08
0;0.501335;0.00104414;0.0836021;0.00023693;7.94507e-06;7.94507e-08
0;0.501397;0.00103467;0.0835979;0.000234405;7.90159e-06;7.90159e-08
0;0.501369;0.00102399;0.0835908;0.000232007;7.85739e-06;7.85739e-08
0;0.501288;0.00101635;0.0835617;0.000231386;7.80961e-06;7.80961e-08
0;0.501285;0.00100571;0.0835615;0.000228963;7.76264e-06;7.76264e-08
0;0.501435;0.00100652;0.0835774;0.000227152;7.72504e-06;7.72504e-08
0;0.501277;0.00100858;0.0835446;0.000227205;7.6795e-06;7.6795e-08
0;0.50149;0.00102079;0.0835353;0.000225092;7.64677e-06;7.64677e-08
0;0.501438;0.00101189;0.0835406;0.000222892;7.61164e-06;7.61164e-08
