Number_of_throws;	Integral_value;	Integral_error;	sigma_value;	sigma_error;	Chi^2;	prob_poisson
56000;	5.01292e-01;	1.28536e-03;	8.36109e-02;	3.11033e-04;	8.82282e-06;	8.82282e-08
57000;	5.01591e-01;	1.29766e-03;	8.36901e-02;	3.15636e-04;	8.75690e-06;	8.75690e-08
58000;	5.01867e-01;	1.30450e-03;	8.37155e-02;	3.11181e-04;	8.72611e-06;	8.72611e-08
59000;	5.01889e-01;	1.28239e-03;	8.37698e-02;	3.10639e-04;	8.69923e-06;	8.69923e-08
60000;	5.01892e-01;	1.26084e-03;	8.37510e-02;	3.05995e-04;	8.67354e-06;	8.67354e-08
61000;	5.02039e-01;	1.24871e-03;	8.37098e-02;	3.03741e-04;	8.66767e-06;	8.66767e-08
62000;	5.02280e-01;	1.25190e-03;	8.37425e-02;	3.00587e-04;	8.69562e-06;	8.69562e-08
63000;	5.02342e-01;	1.23343e-03;	8.37413e-02;	2.95779e-04;	8.73179e-06;	8.73179e-08
64000;	5.02278e-01;	1.21571e-03;	8.37719e-02;	2.92722e-04;	8.75754e-06;	8.75754e-08
65000;	5.02368e-01;	1.20021e-03;	8.37149e-02;	2.93779e-04;	8.79529e-06;	8.79529e-08
66000;	5.02462e-01;	1.18565e-03;	8.36848e-02;	2.90846e-04;	8.84573e-06;	8.84573e-08
67000;	5.02576e-01;	1.17338e-03;	8.37012e-02;	2.86939e-04;	8.91181e-06;	8.91181e-08
68000;	5.02263e-01;	1.19766e-03;	8.37017e-02;	2.82689e-04;	8.93138e-06;	8.93138e-08
69000;	5.02119e-01;	1.18891e-03;	8.37484e-02;	2.82442e-04;	8.93211e-06;	8.93211e-08
70000;	5.02078e-01;	1.17254e-03;	8.37620e-02;	2.78708e-04;	8.92783e-06;	8.92783e-08
71000;	5.02065e-01;	1.15597e-03;	8.37782e-02;	2.75236e-04;	8.92220e-06;	8.92220e-08
72000;	5.01637e-01;	1.21758e-03;	8.37687e-02;	2.71554e-04;	8.87270e-06;	8.87270e-08
73000;	5.01591e-01;	1.20166e-03;	8.37388e-02;	2.69475e-04;	8.82050e-06;	8.82050e-08
74000;	5.01591e-01;	1.18531e-03;	8.37595e-02;	2.66614e-04;	8.76969e-06;	8.76969e-08
75000;	5.01622e-01;	1.16982e-03;	8.37463e-02;	2.63367e-04;	8.72292e-06;	8.72292e-08
76000;	5.01501e-01;	1.16064e-03;	8.37320e-02;	2.60272e-04;	8.66744e-06;	8.66744e-08
77000;	5.01553e-01;	1.14663e-03;	8.37214e-02;	2.57086e-04;	8.61750e-06;	8.61750e-08
