#   N_BLOCK:  ACCEPTANCE:
           1    0.999157
           2    0.998731
           3     0.99841
           4    0.998162
           5    0.997948
           6    0.997816
           7    0.997685
           8    0.997587
           9    0.997477
          10    0.997368
          11    0.997285
          12    0.997218
          13    0.997146
          14    0.997079
          15    0.997011
          16    0.996954
          17    0.996891
          18    0.996851
          19    0.996807
          20    0.996728
