Number_of_throws;	Integral_value;	Integral_error;	sigma_value;	sigma_error;	Chi^2;	prob_poisson
2380000;	5.00297e-01;	1.88589e-04;	8.32940e-02;	4.74444e-05;	4.20829e-07;	4.20829e-10
2390000;	5.00329e-01;	1.90587e-04;	8.32900e-02;	4.74156e-05;	4.19975e-07;	4.19975e-10
2400000;	5.00325e-01;	1.89836e-04;	8.32906e-02;	4.72212e-05;	4.19105e-07;	4.19105e-10
2410000;	5.00324e-01;	1.89050e-04;	8.32843e-02;	4.74444e-05;	4.18237e-07;	4.18237e-10
2420000;	5.00319e-01;	1.88320e-04;	8.32847e-02;	4.72495e-05;	4.17352e-07;	4.17352e-10
2430000;	5.00312e-01;	1.87691e-04;	8.32820e-02;	4.71313e-05;	4.16435e-07;	4.16435e-10
2440000;	5.00307e-01;	1.86979e-04;	8.32771e-02;	4.71892e-05;	4.15503e-07;	4.15503e-10
2450000;	5.00308e-01;	1.86215e-04;	8.32808e-02;	4.71401e-05;	4.14579e-07;	4.14579e-10
2460000;	5.00313e-01;	1.85547e-04;	8.32825e-02;	4.69774e-05;	4.13693e-07;	4.13693e-10
2470000;	5.00311e-01;	1.84809e-04;	8.32835e-02;	4.67977e-05;	4.12802e-07;	4.12802e-10
2480000;	5.00323e-01;	1.84455e-04;	8.32796e-02;	4.67694e-05;	4.11980e-07;	4.11980e-10
2490000;	5.00314e-01;	1.83926e-04;	8.32780e-02;	4.66070e-05;	4.11119e-07;	4.11119e-10
2500000;	5.00313e-01;	1.83196e-04;	8.32832e-02;	4.67096e-05;	4.10257e-07;	4.10257e-10
2510000;	5.00296e-01;	1.83248e-04;	8.32819e-02;	4.65414e-05;	4.09320e-07;	4.09320e-10
2520000;	5.00292e-01;	1.82566e-04;	8.32818e-02;	4.63566e-05;	4.08370e-07;	4.08370e-10
2530000;	5.00302e-01;	1.82164e-04;	8.32825e-02;	4.61793e-05;	4.07480e-07;	4.07480e-10
2540000;	5.00305e-01;	1.81459e-04;	8.32800e-02;	4.60680e-05;	4.06606e-07;	4.06606e-10
2550000;	5.00308e-01;	1.80785e-04;	8.32768e-02;	4.59923e-05;	4.05758e-07;	4.05758e-10
2560000;	5.00299e-01;	1.80330e-04;	8.32741e-02;	4.58937e-05;	4.04870e-07;	4.04870e-10
2570000;	5.00297e-01;	1.79638e-04;	8.32716e-02;	4.57812e-05;	4.03981e-07;	4.03981e-10
2580000;	5.00295e-01;	1.78954e-04;	8.32756e-02;	4.57777e-05;	4.03088e-07;	4.03088e-10
2590000;	5.00301e-01;	1.78390e-04;	8.32747e-02;	4.56100e-05;	4.02234e-07;	4.02234e-10
2600000;	5.00319e-01;	1.78538e-04;	8.32759e-02;	4.54507e-05;	4.01468e-07;	4.01468e-10
2610000;	5.00321e-01;	1.77867e-04;	8.32781e-02;	4.53266e-05;	4.00719e-07;	4.00719e-10
2620000;	5.00321e-01;	1.77187e-04;	8.32799e-02;	4.51908e-05;	3.99976e-07;	3.99976e-10
2630000;	5.00326e-01;	1.76575e-04;	8.32809e-02;	4.50293e-05;	3.99262e-07;	3.99262e-10
2640000;	5.00297e-01;	1.78285e-04;	8.32883e-02;	4.54639e-05;	3.98417e-07;	3.98417e-10
2650000;	5.00316e-01;	1.78675e-04;	8.32920e-02;	4.54451e-05;	3.97668e-07;	3.97668e-10
2660000;	5.00309e-01;	1.78129e-04;	8.32947e-02;	4.53526e-05;	3.96893e-07;	3.96893e-10
2670000;	5.00317e-01;	1.77641e-04;	8.32924e-02;	4.52387e-05;	3.96161e-07;	3.96161e-10
2680000;	5.00327e-01;	1.77259e-04;	8.32961e-02;	4.52182e-05;	3.95483e-07;	3.95483e-10
2690000;	5.00345e-01;	1.77476e-04;	8.32933e-02;	4.51337e-05;	3.94898e-07;	3.94898e-10
2700000;	5.00340e-01;	1.76904e-04;	8.32894e-02;	4.51373e-05;	3.94290e-07;	3.94290e-10
2710000;	5.00334e-01;	1.76337e-04;	8.32850e-02;	4.51822e-05;	3.93658e-07;	3.93658e-10
2720000;	5.00344e-01;	1.75971e-04;	8.32864e-02;	4.50354e-05;	3.93081e-07;	3.93081e-10
2730000;	5.00318e-01;	1.77208e-04;	8.32898e-02;	4.50035e-05;	3.92383e-07;	3.92383e-10
2740000;	5.00323e-01;	1.76618e-04;	8.32905e-02;	4.48435e-05;	3.91712e-07;	3.91712e-10
2750000;	5.00322e-01;	1.75976e-04;	8.32887e-02;	4.47154e-05;	3.91041e-07;	3.91041e-10
2760000;	5.00327e-01;	1.75413e-04;	8.32947e-02;	4.49530e-05;	3.90400e-07;	3.90400e-10
2770000;	5.00317e-01;	1.75074e-04;	8.32931e-02;	4.48194e-05;	3.89716e-07;	3.89716e-10
2780000;	5.00332e-01;	1.75049e-04;	8.32913e-02;	4.46913e-05;	3.89105e-07;	3.89105e-10
2790000;	5.00338e-01;	1.74541e-04;	8.32898e-02;	4.45578e-05;	3.88529e-07;	3.88529e-10
2800000;	5.00337e-01;	1.73919e-04;	8.32843e-02;	4.47370e-05;	3.87953e-07;	3.87953e-10
2810000;	5.00335e-01;	1.73312e-04;	8.32881e-02;	4.47395e-05;	3.87371e-07;	3.87371e-10
2820000;	5.00337e-01;	1.72711e-04;	8.32859e-02;	4.46342e-05;	3.86804e-07;	3.86804e-10
2830000;	5.00333e-01;	1.72160e-04;	8.32864e-02;	4.44783e-05;	3.86219e-07;	3.86219e-10
2840000;	5.00312e-01;	1.72741e-04;	8.32859e-02;	4.43237e-05;	3.85546e-07;	3.85546e-10
2850000;	5.00314e-01;	1.72145e-04;	8.32852e-02;	4.41734e-05;	3.84887e-07;	3.84887e-10
2860000;	5.00300e-01;	1.72150e-04;	8.32881e-02;	4.41107e-05;	3.84170e-07;	3.84170e-10
2870000;	5.00319e-01;	1.72632e-04;	8.32886e-02;	4.39596e-05;	3.83541e-07;	3.83541e-10
2880000;	5.00318e-01;	1.72036e-04;	8.32908e-02;	4.38633e-05;	3.82912e-07;	3.82912e-10
2890000;	5.00319e-01;	1.71445e-04;	8.32912e-02;	4.37129e-05;	3.82292e-07;	3.82292e-10
2900000;	5.00327e-01;	1.71041e-04;	8.32904e-02;	4.35693e-05;	3.81712e-07;	3.81712e-10
2910000;	5.00331e-01;	1.70497e-04;	8.32906e-02;	4.34201e-05;	3.81154e-07;	3.81154e-10
2920000;	5.00345e-01;	1.70498e-04;	8.32969e-02;	4.37258e-05;	3.80666e-07;	3.80666e-10
2930000;	5.00345e-01;	1.69915e-04;	8.32964e-02;	4.35788e-05;	3.80180e-07;	3.80180e-10
2940000;	5.00349e-01;	1.69376e-04;	8.32935e-02;	4.35286e-05;	3.79714e-07;	3.79714e-10
2950000;	5.00340e-01;	1.69009e-04;	8.32990e-02;	4.37228e-05;	3.79213e-07;	3.79213e-10
2960000;	5.00347e-01;	1.68550e-04;	8.32987e-02;	4.35762e-05;	3.78743e-07;	3.78743e-10
2970000;	5.00362e-01;	1.68646e-04;	8.32985e-02;	4.34296e-05;	3.78348e-07;	3.78348e-10
2980000;	5.00346e-01;	1.68801e-04;	8.32992e-02;	4.32898e-05;	3.77882e-07;	3.77882e-10
2990000;	5.00342e-01;	1.68284e-04;	8.33033e-02;	4.33354e-05;	3.77400e-07;	3.77400e-10
3000000;	5.00339e-01;	1.67744e-04;	8.33041e-02;	4.31993e-05;	3.76909e-07;	3.76909e-10
3010000;	5.00333e-01;	1.67292e-04;	8.33007e-02;	4.31900e-05;	3.76394e-07;	3.76394e-10
3020000;	5.00350e-01;	1.67587e-04;	8.33016e-02;	4.30558e-05;	3.75960e-07;	3.75960e-10
3030000;	5.00377e-01;	1.69246e-04;	8.33002e-02;	4.29377e-05;	3.75659e-07;	3.75659e-10
3040000;	5.00375e-01;	1.68701e-04;	8.32967e-02;	4.29380e-05;	3.75350e-07;	3.75350e-10
3050000;	5.00385e-01;	1.68431e-04;	8.32945e-02;	4.28541e-05;	3.75092e-07;	3.75092e-10
3060000;	5.00387e-01;	1.67891e-04;	8.32912e-02;	4.28396e-05;	3.74846e-07;	3.74846e-10
3070000;	5.00397e-01;	1.67634e-04;	8.32899e-02;	4.27204e-05;	3.74651e-07;	3.74651e-10
3080000;	5.00392e-01;	1.67161e-04;	8.32861e-02;	4.27445e-05;	3.74432e-07;	3.74432e-10
3090000;	5.00411e-01;	1.67729e-04;	8.32900e-02;	4.27823e-05;	3.74315e-07;	3.74315e-10
3100000;	5.00408e-01;	1.67229e-04;	8.32891e-02;	4.26541e-05;	3.74179e-07;	3.74179e-10
3110000;	5.00387e-01;	1.67923e-04;	8.32899e-02;	4.25245e-05;	3.73940e-07;	3.73940e-10
3120000;	5.00381e-01;	1.67511e-04;	8.32928e-02;	4.24859e-05;	3.73671e-07;	3.73671e-10
3130000;	5.00359e-01;	1.68340e-04;	8.32929e-02;	4.23502e-05;	3.73302e-07;	3.73302e-10
3140000;	5.00351e-01;	1.67986e-04;	8.32928e-02;	4.22153e-05;	3.72900e-07;	3.72900e-10
3150000;	5.00343e-01;	1.67690e-04;	8.32934e-02;	4.20859e-05;	3.72461e-07;	3.72461e-10
3160000;	5.00334e-01;	1.67379e-04;	8.32890e-02;	4.21875e-05;	3.71988e-07;	3.71988e-10
3170000;	5.00337e-01;	1.66886e-04;	8.32873e-02;	4.20867e-05;	3.71533e-07;	3.71533e-10
3180000;	5.00329e-01;	1.66586e-04;	8.32870e-02;	4.19554e-05;	3.71044e-07;	3.71044e-10
3190000;	5.00327e-01;	1.66073e-04;	8.32896e-02;	4.19063e-05;	3.70551e-07;	3.70551e-10
3200000;	5.00323e-01;	1.65602e-04;	8.32891e-02;	4.17778e-05;	3.70045e-07;	3.70045e-10
3210000;	5.00319e-01;	1.65128e-04;	8.32921e-02;	4.17560e-05;	3.69527e-07;	3.69527e-10
3220000;	5.00309e-01;	1.64951e-04;	8.32905e-02;	4.16579e-05;	3.68972e-07;	3.68972e-10
3230000;	5.00308e-01;	1.64443e-04;	8.32902e-02;	4.15299e-05;	3.68415e-07;	3.68415e-10
3240000;	5.00294e-01;	1.64478e-04;	8.32880e-02;	4.14611e-05;	3.67812e-07;	3.67812e-10
3250000;	5.00300e-01;	1.64093e-04;	8.32882e-02;	4.13338e-05;	3.67236e-07;	3.67236e-10
3260000;	5.00287e-01;	1.64116e-04;	8.32859e-02;	4.12720e-05;	3.66616e-07;	3.66616e-10
3270000;	5.00279e-01;	1.63847e-04;	8.32863e-02;	4.11478e-05;	3.65969e-07;	3.65969e-10
3280000;	5.00278e-01;	1.63347e-04;	8.32897e-02;	4.11597e-05;	3.65326e-07;	3.65326e-10
3290000;	5.00291e-01;	1.63355e-04;	8.32897e-02;	4.10344e-05;	3.64731e-07;	3.64731e-10
3300000;	5.00301e-01;	1.63159e-04;	8.32880e-02;	4.09439e-05;	3.64175e-07;	3.64175e-10
3310000;	5.00292e-01;	1.62893e-04;	8.32866e-02;	4.08460e-05;	3.63591e-07;	3.63591e-10
3320000;	5.00295e-01;	1.62415e-04;	8.32883e-02;	4.07595e-05;	3.63019e-07;	3.63019e-10
3330000;	5.00302e-01;	1.62090e-04;	8.32914e-02;	4.07561e-05;	3.62476e-07;	3.62476e-10
3340000;	5.00298e-01;	1.61660e-04;	8.32904e-02;	4.06458e-05;	3.61922e-07;	3.61922e-10
3350000;	5.00298e-01;	1.61177e-04;	8.32908e-02;	4.05267e-05;	3.61372e-07;	3.61372e-10
3360000;	5.00288e-01;	1.61011e-04;	8.32939e-02;	4.05201e-05;	3.60790e-07;	3.60790e-10
3370000;	5.00276e-01;	1.60969e-04;	8.32932e-02;	4.04051e-05;	3.60172e-07;	3.60172e-10
3380000;	5.00284e-01;	1.60664e-04;	8.32944e-02;	4.03016e-05;	3.59583e-07;	3.59583e-10
3390000;	5.00300e-01;	1.60986e-04;	8.32956e-02;	4.02013e-05;	3.59052e-07;	3.59052e-10
3400000;	5.00294e-01;	1.60595e-04;	8.32981e-02;	4.01581e-05;	3.58506e-07;	3.58506e-10
3410000;	5.00288e-01;	1.60260e-04;	8.33034e-02;	4.04002e-05;	3.57941e-07;	3.57941e-10
3420000;	5.00284e-01;	1.59835e-04;	8.33014e-02;	4.03350e-05;	3.57366e-07;	3.57366e-10
3430000;	5.00279e-01;	1.59448e-04;	8.32988e-02;	4.02994e-05;	3.56778e-07;	3.56778e-10
3440000;	5.00272e-01;	1.59156e-04;	8.33020e-02;	4.03069e-05;	3.56170e-07;	3.56170e-10
3450000;	5.00263e-01;	1.58952e-04;	8.33007e-02;	4.02104e-05;	3.55537e-07;	3.55537e-10
3460000;	5.00249e-01;	1.59052e-04;	8.33045e-02;	4.02800e-05;	3.54869e-07;	3.54869e-10
3470000;	5.00243e-01;	1.58710e-04;	8.33017e-02;	4.02655e-05;	3.54187e-07;	3.54187e-10
3480000;	5.00251e-01;	1.58426e-04;	8.33004e-02;	4.01698e-05;	3.53530e-07;	3.53530e-10
3490000;	5.00255e-01;	1.58030e-04;	8.32973e-02;	4.01718e-05;	3.52889e-07;	3.52889e-10
3500000;	5.00262e-01;	1.57751e-04;	8.33004e-02;	4.01756e-05;	3.52274e-07;	3.52274e-10
3510000;	5.00260e-01;	1.57314e-04;	8.32988e-02;	4.00938e-05;	3.51656e-07;	3.51656e-10
3520000;	5.00260e-01;	1.56866e-04;	8.32982e-02;	3.99840e-05;	3.51042e-07;	3.51042e-10
3530000;	5.00256e-01;	1.56478e-04;	8.32970e-02;	3.98888e-05;	3.50420e-07;	3.50420e-10
3540000;	5.00248e-01;	1.56232e-04;	8.32989e-02;	3.98180e-05;	3.49778e-07;	3.49778e-10
3550000;	5.00243e-01;	1.55895e-04;	8.33000e-02;	3.97223e-05;	3.49125e-07;	3.49125e-10
3560000;	5.00255e-01;	1.55981e-04;	8.32975e-02;	3.96892e-05;	3.48510e-07;	3.48510e-10
3570000;	5.00255e-01;	1.55543e-04;	8.32980e-02;	3.95812e-05;	3.47899e-07;	3.47899e-10
3580000;	5.00257e-01;	1.55118e-04;	8.32986e-02;	3.94743e-05;	3.47297e-07;	3.47297e-10
3590000;	5.00260e-01;	1.54715e-04;	8.33003e-02;	3.94040e-05;	3.46707e-07;	3.46707e-10
3600000;	5.00255e-01;	1.54372e-04;	8.33064e-02;	3.97616e-05;	3.46105e-07;	3.46105e-10
3610000;	5.00257e-01;	1.53952e-04;	8.33092e-02;	3.97475e-05;	3.45510e-07;	3.45510e-10
3620000;	5.00259e-01;	1.53542e-04;	8.33080e-02;	3.96539e-05;	3.44926e-07;	3.44926e-10
3630000;	5.00259e-01;	1.53119e-04;	8.33060e-02;	3.95949e-05;	3.44344e-07;	3.44344e-10
3640000;	5.00276e-01;	1.53664e-04;	8.33056e-02;	3.94887e-05;	3.43816e-07;	3.43816e-10
3650000;	5.00280e-01;	1.53310e-04;	8.33049e-02;	3.93866e-05;	3.43305e-07;	3.43305e-10
3660000;	5.00286e-01;	1.53004e-04;	8.33054e-02;	3.92824e-05;	3.42815e-07;	3.42815e-10
3670000;	5.00284e-01;	1.52603e-04;	8.33089e-02;	3.93338e-05;	3.42320e-07;	3.42320e-10
3680000;	5.00274e-01;	1.52523e-04;	8.33091e-02;	3.92273e-05;	3.41798e-07;	3.41798e-10
3690000;	5.00262e-01;	1.52608e-04;	8.33104e-02;	3.91430e-05;	3.41243e-07;	3.41243e-10
3700000;	5.00260e-01;	1.52202e-04;	8.33121e-02;	3.90733e-05;	3.40686e-07;	3.40686e-10
3710000;	5.00283e-01;	1.53495e-04;	8.33130e-02;	3.89766e-05;	3.40200e-07;	3.40200e-10
3720000;	5.00285e-01;	1.53099e-04;	8.33111e-02;	3.89169e-05;	3.39723e-07;	3.39723e-10
3730000;	5.00270e-01;	1.53412e-04;	8.33124e-02;	3.88343e-05;	3.39204e-07;	3.39204e-10
3740000;	5.00269e-01;	1.53012e-04;	8.33109e-02;	3.87572e-05;	3.38682e-07;	3.38682e-10
3750000;	5.00268e-01;	1.52607e-04;	8.33081e-02;	3.87587e-05;	3.38161e-07;	3.38161e-10
3760000;	5.00273e-01;	1.52310e-04;	8.33077e-02;	3.86572e-05;	3.37659e-07;	3.37659e-10
3770000;	5.00271e-01;	1.51923e-04;	8.33088e-02;	3.85689e-05;	3.37153e-07;	3.37153e-10
3780000;	5.00271e-01;	1.51521e-04;	8.33097e-02;	3.84777e-05;	3.36648e-07;	3.36648e-10
3790000;	5.00272e-01;	1.51128e-04;	8.33118e-02;	3.84353e-05;	3.36151e-07;	3.36151e-10
3800000;	5.00275e-01;	1.50750e-04;	8.33088e-02;	3.84502e-05;	3.35663e-07;	3.35663e-10
3810000;	5.00270e-01;	1.50433e-04;	8.33101e-02;	3.83704e-05;	3.35164e-07;	3.35164e-10
3820000;	5.00265e-01;	1.50125e-04;	8.33104e-02;	3.82708e-05;	3.34653e-07;	3.34653e-10
3830000;	5.00267e-01;	1.49751e-04;	8.33077e-02;	3.82616e-05;	3.34151e-07;	3.34151e-10
3840000;	5.00275e-01;	1.49603e-04;	8.33068e-02;	3.81740e-05;	3.33676e-07;	3.33676e-10
3850000;	5.00272e-01;	1.49255e-04;	8.33062e-02;	3.80797e-05;	3.33193e-07;	3.33193e-10
3860000;	5.00274e-01;	1.48887e-04;	8.33073e-02;	3.79979e-05;	3.32720e-07;	3.32720e-10
3870000;	5.00277e-01;	1.48527e-04;	8.33077e-02;	3.79019e-05;	3.32257e-07;	3.32257e-10
3880000;	5.00288e-01;	1.48565e-04;	8.33092e-02;	3.78342e-05;	3.31829e-07;	3.31829e-10
3890000;	5.00293e-01;	1.48245e-04;	8.33090e-02;	3.77377e-05;	3.31416e-07;	3.31416e-10
3900000;	5.00293e-01;	1.47865e-04;	8.33086e-02;	3.76428e-05;	3.31006e-07;	3.31006e-10
3910000;	5.00303e-01;	1.47825e-04;	8.33087e-02;	3.75466e-05;	3.30629e-07;	3.30629e-10
3920000;	5.00298e-01;	1.47535e-04;	8.33084e-02;	3.74525e-05;	3.30237e-07;	3.30237e-10
3930000;	5.00289e-01;	1.47430e-04;	8.33084e-02;	3.73571e-05;	3.29821e-07;	3.29821e-10
3940000;	5.00287e-01;	1.47070e-04;	8.33095e-02;	3.72791e-05;	3.29401e-07;	3.29401e-10
3950000;	5.00288e-01;	1.46703e-04;	8.33106e-02;	3.72013e-05;	3.28988e-07;	3.28988e-10
3960000;	5.00278e-01;	1.46682e-04;	8.33137e-02;	3.72335e-05;	3.28547e-07;	3.28547e-10
3970000;	5.00279e-01;	1.46320e-04;	8.33130e-02;	3.71470e-05;	3.28113e-07;	3.28113e-10
3980000;	5.00274e-01;	1.46063e-04;	8.33162e-02;	3.71942e-05;	3.27665e-07;	3.27665e-10
3990000;	5.00272e-01;	1.45714e-04;	8.33155e-02;	3.71069e-05;	3.27213e-07;	3.27213e-10
4000000;	5.00276e-01;	1.45423e-04;	8.33166e-02;	3.70300e-05;	3.26776e-07;	3.26776e-10
4010000;	5.00274e-01;	1.45083e-04;	8.33171e-02;	3.69411e-05;	3.26335e-07;	3.26335e-10
4020000;	5.00274e-01;	1.44723e-04;	8.33156e-02;	3.68827e-05;	3.25897e-07;	3.25897e-10
4030000;	5.00272e-01;	1.44374e-04;	8.33153e-02;	3.67921e-05;	3.25456e-07;	3.25456e-10
4040000;	5.00278e-01;	1.44132e-04;	8.33180e-02;	3.68014e-05;	3.25034e-07;	3.25034e-10
4050000;	5.00279e-01;	1.43778e-04;	8.33154e-02;	3.68026e-05;	3.24616e-07;	3.24616e-10
4060000;	5.00283e-01;	1.43476e-04;	8.33129e-02;	3.67980e-05;	3.24210e-07;	3.24210e-10
4070000;	5.00275e-01;	1.43318e-04;	8.33149e-02;	3.67636e-05;	3.23787e-07;	3.23787e-10
4080000;	5.00277e-01;	1.42979e-04;	8.33160e-02;	3.66886e-05;	3.23370e-07;	3.23370e-10
4090000;	5.00283e-01;	1.42723e-04;	8.33152e-02;	3.66055e-05;	3.22970e-07;	3.22970e-10
4100000;	5.00280e-01;	1.42407e-04;	8.33155e-02;	3.65173e-05;	3.22563e-07;	3.22563e-10
4110000;	5.00275e-01;	1.42119e-04;	8.33166e-02;	3.64453e-05;	3.22148e-07;	3.22148e-10
4120000;	5.00286e-01;	1.42190e-04;	8.33156e-02;	3.63733e-05;	3.21764e-07;	3.21764e-10
4130000;	5.00280e-01;	1.42002e-04;	8.33179e-02;	3.63582e-05;	3.21364e-07;	3.21364e-10
4140000;	5.00260e-01;	1.42962e-04;	8.33198e-02;	3.63239e-05;	3.20915e-07;	3.20915e-10
4150000;	5.00257e-01;	1.42656e-04;	8.33166e-02;	3.63773e-05;	3.20460e-07;	3.20460e-10
4160000;	5.00246e-01;	1.42728e-04;	8.33180e-02;	3.63151e-05;	3.19981e-07;	3.19981e-10
4170000;	5.00252e-01;	1.42523e-04;	8.33225e-02;	3.65112e-05;	3.19519e-07;	3.19519e-10
4180000;	5.00249e-01;	1.42217e-04;	8.33178e-02;	3.67338e-05;	3.19052e-07;	3.19052e-10
4190000;	5.00249e-01;	1.41877e-04;	8.33197e-02;	3.66968e-05;	3.18587e-07;	3.18587e-10
4200000;	5.00250e-01;	1.41541e-04;	8.33215e-02;	3.66519e-05;	3.18126e-07;	3.18126e-10
4210000;	5.00254e-01;	1.41259e-04;	8.33219e-02;	3.65674e-05;	3.17676e-07;	3.17676e-10
4220000;	5.00254e-01;	1.40924e-04;	8.33217e-02;	3.64810e-05;	3.17228e-07;	3.17228e-10
4230000;	5.00250e-01;	1.40642e-04;	8.33230e-02;	3.64182e-05;	3.16774e-07;	3.16774e-10
4240000;	5.00252e-01;	1.40323e-04;	8.33236e-02;	3.63368e-05;	3.16325e-07;	3.16325e-10
4250000;	5.00248e-01;	1.40039e-04;	8.33202e-02;	3.64157e-05;	3.15871e-07;	3.15871e-10
4260000;	5.00255e-01;	1.39871e-04;	8.33209e-02;	3.63382e-05;	3.15434e-07;	3.15434e-10
4270000;	5.00255e-01;	1.39543e-04;	8.33222e-02;	3.62750e-05;	3.15000e-07;	3.15000e-10
4280000;	5.00260e-01;	1.39322e-04;	8.33238e-02;	3.62279e-05;	3.14580e-07;	3.14580e-10
4290000;	5.00268e-01;	1.39193e-04;	8.33274e-02;	3.63184e-05;	3.14181e-07;	3.14181e-10
4300000;	5.00257e-01;	1.39286e-04;	8.33262e-02;	3.62530e-05;	3.13757e-07;	3.13757e-10
4310000;	5.00247e-01;	1.39293e-04;	8.33290e-02;	3.62787e-05;	3.13312e-07;	3.13312e-10
4320000;	5.00253e-01;	1.39083e-04;	8.33274e-02;	3.62303e-05;	3.12883e-07;	3.12883e-10
4330000;	5.00254e-01;	1.38764e-04;	8.33246e-02;	3.62567e-05;	3.12458e-07;	3.12458e-10
4340000;	5.00257e-01;	1.38473e-04;	8.33251e-02;	3.61767e-05;	3.12041e-07;	3.12041e-10
4350000;	5.00255e-01;	1.38163e-04;	8.33271e-02;	3.61460e-05;	3.11623e-07;	3.11623e-10
4360000;	5.00250e-01;	1.37931e-04;	8.33259e-02;	3.60833e-05;	3.11195e-07;	3.11195e-10
4370000;	5.00262e-01;	1.38090e-04;	8.33293e-02;	3.61602e-05;	3.10796e-07;	3.10796e-10
4380000;	5.00264e-01;	1.37792e-04;	8.33282e-02;	3.60935e-05;	3.10404e-07;	3.10404e-10
4390000;	5.00263e-01;	1.37481e-04;	8.33263e-02;	3.60581e-05;	3.10012e-07;	3.10012e-10
4400000;	5.00260e-01;	1.37206e-04;	8.33269e-02;	3.59798e-05;	3.09614e-07;	3.09614e-10
4410000;	5.00265e-01;	1.36984e-04;	8.33260e-02;	3.59094e-05;	3.09230e-07;	3.09230e-10
4420000;	5.00273e-01;	1.36926e-04;	8.33268e-02;	3.58374e-05;	3.08867e-07;	3.08867e-10
4430000;	5.00268e-01;	1.36699e-04;	8.33249e-02;	3.58039e-05;	3.08495e-07;	3.08495e-10
4440000;	5.00260e-01;	1.36667e-04;	8.33242e-02;	3.57307e-05;	3.08103e-07;	3.08103e-10
4450000;	5.00261e-01;	1.36368e-04;	8.33266e-02;	3.57334e-05;	3.07717e-07;	3.07717e-10
4460000;	5.00266e-01;	1.36135e-04;	8.33237e-02;	3.57753e-05;	3.07343e-07;	3.07343e-10
4470000;	5.00251e-01;	1.36630e-04;	8.33255e-02;	3.57439e-05;	3.06937e-07;	3.06937e-10
4480000;	5.00250e-01;	1.36326e-04;	8.33260e-02;	3.56663e-05;	3.06531e-07;	3.06531e-10
4490000;	5.00243e-01;	1.36207e-04;	8.33265e-02;	3.55904e-05;	3.06112e-07;	3.06112e-10
4500000;	5.00241e-01;	1.35913e-04;	8.33278e-02;	3.55381e-05;	3.05691e-07;	3.05691e-10
4510000;	5.00242e-01;	1.35613e-04;	8.33306e-02;	3.55624e-05;	3.05273e-07;	3.05273e-10
4520000;	5.00248e-01;	1.35451e-04;	8.33305e-02;	3.54837e-05;	3.04870e-07;	3.04870e-10
4530000;	5.00252e-01;	1.35192e-04;	8.33348e-02;	3.56632e-05;	3.04477e-07;	3.04477e-10
4540000;	5.00248e-01;	1.34933e-04;	8.33344e-02;	3.55866e-05;	3.04078e-07;	3.04078e-10
4550000;	5.00252e-01;	1.34682e-04;	8.33361e-02;	3.55510e-05;	3.03688e-07;	3.03688e-10
4560000;	5.00247e-01;	1.34466e-04;	8.33394e-02;	3.56241e-05;	3.03290e-07;	3.03290e-10
4570000;	5.00250e-01;	1.34204e-04;	8.33382e-02;	3.55653e-05;	3.02900e-07;	3.02900e-10
4580000;	5.00239e-01;	1.34376e-04;	8.33361e-02;	3.55488e-05;	3.02488e-07;	3.02488e-10
4590000;	5.00235e-01;	1.34133e-04;	8.33336e-02;	3.55647e-05;	3.02070e-07;	3.02070e-10
4600000;	5.00232e-01;	1.33876e-04;	8.33358e-02;	3.55582e-05;	3.01648e-07;	3.01648e-10
4610000;	5.00230e-01;	1.33608e-04;	8.33343e-02;	3.55136e-05;	3.01223e-07;	3.01223e-10
4620000;	5.00229e-01;	1.33320e-04;	8.33334e-02;	3.54476e-05;	3.00798e-07;	3.00798e-10
4630000;	5.00230e-01;	1.33033e-04;	8.33330e-02;	3.53734e-05;	3.00377e-07;	3.00377e-10
4640000;	5.00224e-01;	1.32867e-04;	8.33331e-02;	3.52973e-05;	2.99946e-07;	2.99946e-10
4650000;	5.00221e-01;	1.32631e-04;	8.33330e-02;	3.52215e-05;	2.99510e-07;	2.99510e-10
4660000;	5.00220e-01;	1.32347e-04;	8.33298e-02;	3.52934e-05;	2.99075e-07;	2.99075e-10
4670000;	5.00215e-01;	1.32144e-04;	8.33294e-02;	3.52196e-05;	2.98633e-07;	2.98633e-10
4680000;	5.00206e-01;	1.32226e-04;	8.33318e-02;	3.52259e-05;	2.98176e-07;	2.98176e-10
4690000;	5.00197e-01;	1.32227e-04;	8.33347e-02;	3.52688e-05;	2.97706e-07;	2.97706e-10
4700000;	5.00193e-01;	1.32015e-04;	8.33327e-02;	3.52517e-05;	2.97230e-07;	2.97230e-10
4710000;	5.00195e-01;	1.31753e-04;	8.33329e-02;	3.51773e-05;	2.96760e-07;	2.96760e-10
4720000;	5.00198e-01;	1.31516e-04;	8.33328e-02;	3.51027e-05;	2.96298e-07;	2.96298e-10
4730000;	5.00197e-01;	1.31249e-04;	8.33314e-02;	3.50575e-05;	2.95835e-07;	2.95835e-10
4740000;	5.00187e-01;	1.31331e-04;	8.33330e-02;	3.50226e-05;	2.95358e-07;	2.95358e-10
4750000;	5.00193e-01;	1.31209e-04;	8.33329e-02;	3.49489e-05;	2.94894e-07;	2.94894e-10
4760000;	5.00182e-01;	1.31435e-04;	8.33314e-02;	3.49071e-05;	2.94413e-07;	2.94413e-10
4770000;	5.00173e-01;	1.31477e-04;	8.33312e-02;	3.48346e-05;	2.93920e-07;	2.93920e-10
