#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -6.70866    -6.68254   0.0011262
         153    -6.68981    -6.68259  0.00111984
         154    -6.67232    -6.68252  0.00111455
         155    -6.68839    -6.68256  0.00110801
         156    -6.68939     -6.6826  0.00110177
         157    -6.68133    -6.68259  0.00109478
         158    -6.67868    -6.68257  0.00108813
         159    -6.68504    -6.68258   0.0010814
         160    -6.69412    -6.68266  0.00107704
         161    -6.70014    -6.68276  0.00107581
         162    -6.65953    -6.68262  0.00107869
         163    -6.68602    -6.68264  0.00107228
         164    -6.67067    -6.68257  0.00106822
         165    -6.68694    -6.68259  0.00106208
         166    -6.69776    -6.68269   0.0010596
         167    -6.66839     -6.6826  0.00105671
         168    -6.70625    -6.68274  0.00105975
         169    -6.68374    -6.68275   0.0010535
         170    -6.70098    -6.68285  0.00105275
         171    -6.67652    -6.68282  0.00104725
         172    -6.68765    -6.68285  0.00104153
         173    -6.67876    -6.68282  0.00103578
         174    -6.68525    -6.68284  0.00102992
         175    -6.69687    -6.68292  0.00102716
         176    -6.65553    -6.68276  0.00103304
         177    -6.67322    -6.68271  0.00102861
         178    -6.69459    -6.68277  0.00102499
         179    -6.70492     -6.6829  0.00102671
         180      -6.645    -6.68269  0.00104237
         181    -6.69333    -6.68275  0.00103827
         182    -6.68657    -6.68277  0.00103278
         183    -6.68748    -6.68279  0.00102746
         184    -6.68528    -6.68281  0.00102196
         185    -6.69323    -6.68286  0.00101799
         186    -6.68749    -6.68289  0.00101282
         187     -6.6814    -6.68288  0.00100743
         188    -6.67811    -6.68285  0.00100239
         189    -6.70439    -6.68297  0.00100354
         190    -6.69324    -6.68302 0.000999718
         191    -6.67266    -6.68297 0.000995955
         192    -6.67944    -6.68295 0.000990938
         193    -6.68129    -6.68294 0.000985841
         194    -6.68261    -6.68294 0.000980761
         195    -6.70181    -6.68304 0.000980493
         196    -6.69788    -6.68311 0.000978413
         197     -6.6746    -6.68307 0.000974399
         198     -6.6782    -6.68304 0.000969788
         199    -6.69135    -6.68309 0.000965813
         200    -6.68231    -6.68308 0.000960991
         201    -6.67465    -6.68304 0.000957126
         202     -6.7027    -6.68314 0.000957325
         203    -6.67369    -6.68309 0.000953739
         204    -6.68531     -6.6831 0.000949125
         205    -6.64846    -6.68293 0.000959417
         206    -6.69584    -6.68299 0.000956804
         207    -6.69217    -6.68304 0.000953209
         208      -6.681    -6.68303 0.000948676
         209    -6.69748     -6.6831 0.000946654
         210    -6.66112    -6.68299 0.000947914
         211    -6.69885    -6.68307 0.000946395
         212    -6.68364    -6.68307 0.000941935
         213    -6.66692      -6.683  0.00094056
         214    -6.67316    -6.68295 0.000937287
         215    -6.68516    -6.68296 0.000932984
         216      -6.681    -6.68295 0.000928708
         217    -6.67576    -6.68292  0.00092502
         218    -6.69699    -6.68298 0.000923026
         219    -6.66935    -6.68292 0.000920908
         220     -6.6868    -6.68294  0.00091689
         221    -6.69141    -6.68298 0.000913543
         222    -6.66209    -6.68288 0.000914259
         223    -6.70389    -6.68298 0.000914999
         224    -6.68287    -6.68298 0.000910914
         225     -6.6697    -6.68292 0.000908775
         226     -6.6729    -6.68287 0.000905834
         227    -6.67124    -6.68282 0.000903292
         228    -6.70511    -6.68292 0.000904607
         229    -6.69067    -6.68295 0.000901289
         230    -6.67621    -6.68292 0.000897847
         231    -6.67657     -6.6829 0.000894382
         232    -6.69755    -6.68296 0.000892755
         233    -6.67794    -6.68294 0.000889183
         234    -6.68379    -6.68294 0.000885391
         235    -6.68095    -6.68293 0.000881664
         236    -6.68722    -6.68295 0.000878115
         237    -6.67358    -6.68291   0.0008753
         238    -6.69128    -6.68295 0.000872328
         239    -6.69593      -6.683 0.000870367
         240    -6.67871    -6.68298 0.000866924
         241    -6.68785      -6.683 0.000863562
         242    -6.66012    -6.68291 0.000865154
         243    -6.67442    -6.68287 0.000862299
         244    -6.71268      -6.683 0.000867373
         245    -6.67941    -6.68298 0.000863956
         246    -6.68611    -6.68299 0.000860538
         247    -6.68539      -6.683 0.000857109
         248    -6.68959    -6.68303 0.000854064
         249     -6.6833    -6.68303 0.000850634
         250    -6.67195    -6.68299 0.000848386
         251    -6.68923    -6.68301 0.000845371
         252    -6.67326    -6.68297 0.000842901
         253    -6.67626    -6.68295 0.000839986
         254    -6.69689      -6.683  0.00083847
         255     -6.6872    -6.68302 0.000835344
         256    -6.68806    -6.68304 0.000832313
         257     -6.6633    -6.68296 0.000832612
         258    -6.68378    -6.68296  0.00082939
         259    -6.70344    -6.68304 0.000829946
         260    -6.64526     -6.6829 0.000839381
         261    -6.69583    -6.68295 0.000837625
         262    -6.66852    -6.68289 0.000836237
         263        -6.7    -6.68296 0.000835584
         264    -6.69138    -6.68299 0.000833028
         265    -6.66306    -6.68291 0.000833271
         266    -6.70784    -6.68301 0.000835392
         267    -6.67887    -6.68299 0.000832407
         268    -6.66506    -6.68293 0.000831986
         269    -6.67233    -6.68289 0.000829826
         270    -6.68635     -6.6829 0.000826852
         271    -6.66782    -6.68284  0.00082567
         272    -6.69498    -6.68289  0.00082384
         273    -6.68517     -6.6829 0.000820864
         274    -6.69922    -6.68296 0.000820029
         275    -6.66686     -6.6829 0.000819134
         276    -6.68411     -6.6829 0.000816177
         277    -6.69198    -6.68293 0.000813889
