#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0409284   0.0409284           0
           2           0   0.0204642   0.0144704
           3           0   0.0136428   0.0111393
           4           0   0.0102321  0.00886126
           5           0  0.00818568  0.00732149
           6           0   0.0068214  0.00622706
           7           0  0.00584691  0.00541319
           8           0  0.00511605  0.00478563
           9           0   0.0045476  0.00428752
          10           0  0.00409284  0.00388281
          11           0  0.00372076  0.00354761
          12           0   0.0034107   0.0032655
          13           0  0.00314834  0.00302483
          14           0  0.00292346  0.00281711
          15           0  0.00272856  0.00263604
          16           0  0.00255802   0.0024768
          17           0  0.00240755  0.00233567
          18           0   0.0022738  0.00220974
          19           0  0.00215413  0.00209667
          20           0  0.00204642   0.0019946
