#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.99929     0.99929           0
           2           1    0.999645 0.000251023
           3           1    0.999763 0.000193238
           4           1    0.999823  0.00015372
           5           1    0.999858 0.000127009
           6           1    0.999882 0.000108023
           7           1    0.999899 9.39046e-05
           8           1    0.999911  8.3018e-05
           9           1    0.999921 7.43772e-05
          10           1    0.999929 6.73565e-05
          11           1    0.999935 6.15417e-05
          12           1    0.999941 5.66478e-05
          13           1    0.999945 5.24728e-05
          14           1    0.999949 4.88695e-05
          15           1    0.999953 4.57283e-05
          16           1    0.999956 4.29659e-05
          17           1    0.999958 4.05177e-05
          18           1    0.999961 3.83331e-05
          19           1    0.999963 3.63717e-05
          20           1    0.999965 3.46011e-05
