#   N_BLOCK:  ACCEPTANCE:
           1     0.00014
           2       7e-05
           3 4.66667e-05
           4     3.5e-05
           5     2.8e-05
           6 2.33333e-05
           7       2e-05
           8    1.75e-05
           9 1.55556e-05
          10     1.4e-05
          11 1.27273e-05
          12 1.16667e-05
          13 1.07692e-05
          14       1e-05
          15 9.33333e-06
          16    8.75e-06
          17 8.23529e-06
          18 7.77778e-06
          19 7.36842e-06
          20       7e-06
