#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     49.9804     49.9804           0
           2          50     49.9902  0.00691833
           3          50     49.9935  0.00532574
           4          50     49.9951   0.0042366
           5          50     49.9961  0.00350043
           6          50     49.9967  0.00297718
           7          50     49.9972  0.00258806
           8          50     49.9976  0.00228802
           9          50     49.9978  0.00204988
          10          50      49.998  0.00185638
          11          50     49.9982  0.00169612
          12          50     49.9984  0.00156124
          13          50     49.9985  0.00144618
          14          50     49.9986  0.00134687
          15          50     49.9987   0.0012603
          16          50     49.9988  0.00118416
          17          50     49.9988  0.00111669
          18          50     49.9989  0.00105648
          19          50      49.999  0.00100243
          20          50      49.999 0.000953626
