#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0676571   0.0676571           0
           2           0   0.0338286   0.0239204
           3           0   0.0225524   0.0184139
           4           0   0.0169143   0.0146482
           5           0   0.0135314   0.0121029
           6           0   0.0112762   0.0102937
           7           0  0.00966531  0.00894833
           8           0  0.00845714  0.00791093
           9           0  0.00751746  0.00708753
          10           0  0.00676571  0.00641852
          11           0  0.00615065  0.00586441
          12           0   0.0056381  0.00539807
          13           0   0.0052044  0.00500022
          14           0  0.00483265  0.00465686
          15           0  0.00451048  0.00435753
          16           0  0.00422857   0.0040943
          17           0  0.00397983    0.003861
          18           0  0.00375873  0.00365283
          19           0   0.0035609  0.00346593
          20           0  0.00338286   0.0032972
