#   N_BLOCK:  ACCEPTANCE:
           1    0.000206
           2    0.000103
           3 6.86667e-05
           4    5.15e-05
           5    4.12e-05
           6 3.43333e-05
           7 2.94286e-05
           8   2.575e-05
           9 2.28889e-05
          10    2.06e-05
          11 1.87273e-05
          12 1.71667e-05
          13 1.58462e-05
          14 1.47143e-05
          15 1.37333e-05
          16  1.2875e-05
          17 1.21176e-05
          18 1.14444e-05
          19 1.08421e-05
          20    1.03e-05
