Numero_Lanci;Valore_Integrale
39999;0.99887
40099;0.998885
40199;0.998718
40299;0.998641
40399;0.99853
40499;0.998627
40599;0.99868
40699;0.998532
40799;0.998448
40899;0.998362
40999;0.998346
41099;0.998281
41199;0.998313
41299;0.998466
41399;0.998294
41499;0.998165
41599;0.998
41699;0.997896
41799;0.997879
41899;0.997891
41999;0.997916
42099;0.997817
42199;0.997745
42299;0.997534
42399;0.997535
42499;0.997455
42599;0.997442
42699;0.997418
42799;0.997427
42899;0.997403
42999;0.997614
43099;0.997746
43199;0.997832
43299;0.997875
43399;0.997698
43499;0.997749
43599;0.997804
43699;0.997918
43799;0.997837
43899;0.997691
43999;0.997705
44099;0.997931
44199;0.99813
44299;0.998017
44399;0.998062
44499;0.998046
44599;0.99797
44699;0.997984
44799;0.998154
44899;0.998158
44999;0.998081
45099;0.998079
45199;0.997963
45299;0.997991
45399;0.997928
45499;0.997906
45599;0.997918
45699;0.998005
45799;0.997846
45899;0.997857
45999;0.997956
46099;0.998034
46199;0.998117
46299;0.998171
46399;0.997909
46499;0.997923
46599;0.997976
46699;0.997993
46799;0.99803
46899;0.997906
46999;0.997926
47099;0.997768
47199;0.997791
47299;0.997817
47399;0.997959
47499;0.997886
47599;0.997872
47699;0.997778
47799;0.997918
47899;0.997802
47999;0.997608
48099;0.997574
48199;0.99749
48299;0.997435
48399;0.997464
48499;0.997588
48599;0.99755
48699;0.997566
48799;0.997623
48899;0.997619
48999;0.997785
49099;0.997626
49199;0.997661
49299;0.997855
49399;0.997736
49499;0.997554
49599;0.997562
49699;0.997363
49799;0.997309
49899;0.997177
49999;0.997132
50099;0.997218
50199;0.99707
50299;0.997089
50399;0.997076
50499;0.997027
50599;0.996896
50699;0.996989
50799;0.997028
50899;0.997008
50999;0.997143
51099;0.997072
51199;0.997048
51299;0.997054
51399;0.997088
51499;0.997147
51599;0.996886
51699;0.996985
51799;0.99691
51899;0.997115
51999;0.99727
52099;0.997381
52199;0.997437
52299;0.997439
52399;0.997324
52499;0.997331
52599;0.997247
52699;0.997354
52799;0.997425
52899;0.997393
52999;0.997485
53099;0.997543
53199;0.997512
53299;0.997506
53399;0.997483
53499;0.997494
53599;0.997492
53699;0.997385
53799;0.997249
53899;0.997311
53999;0.997288
54099;0.997368
54199;0.997387
54299;0.997428
54399;0.997457
54499;0.997441
54599;0.997536
54699;0.997491
54799;0.997488
54899;0.997297
54999;0.997435
55099;0.997561
55199;0.997549
55299;0.997441
55399;0.997374
55499;0.997317
55599;0.997427
55699;0.997416
55799;0.997472
55899;0.997492
55999;0.997473
56099;0.997436
56199;0.997428
56299;0.997322
56399;0.997161
56499;0.997125
56599;0.997036
56699;0.996878
56799;0.996815
56899;0.996811
56999;0.996885
57099;0.996862
57199;0.996623
57299;0.996576
57399;0.996704
57499;0.996683
57599;0.996584
57699;0.996609
57799;0.996657
57899;0.996461
57999;0.996389
58099;0.996265
58199;0.996236
58299;0.996192
58399;0.996272
58499;0.996249
58599;0.996167
58699;0.996141
58799;0.99626
58899;0.996336
58999;0.996292
59099;0.996091
59199;0.996009
59299;0.996097
59399;0.996125
59499;0.996191
59599;0.99626
59699;0.996327
59799;0.996302
59899;0.996282
59999;0.996318
60099;0.996223
60199;0.99629
60299;0.996277
60399;0.996239
60499;0.996227
60599;0.996171
60699;0.996046
60799;0.996128
60899;0.996153
60999;0.996145
61099;0.996067
61199;0.996068
61299;0.996078
61399;0.996024
61499;0.995965
61599;0.995848
61699;0.995699
61799;0.99571
61899;0.995613
61999;0.995708
62099;0.995608
62199;0.995655
62299;0.995572
62399;0.995662
62499;0.995679
62599;0.995699
62699;0.995745
62799;0.995598
62899;0.995479
62999;0.995611
63099;0.995581
63199;0.99553
63299;0.995581
63399;0.995665
63499;0.995691
63599;0.995657
63699;0.995751
63799;0.995688
63899;0.99567
63999;0.995674
64099;0.99559
64199;0.995557
64299;0.995493
64399;0.995521
64499;0.995494
64599;0.995529
64699;0.995577
64799;0.995593
64899;0.995549
64999;0.995601
65099;0.995653
65199;0.995748
65299;0.995816
65399;0.995784
65499;0.995633
65599;0.995751
65699;0.995645
65799;0.995625
65899;0.995544
65999;0.995488
66099;0.995526
66199;0.995455
66299;0.995449
66399;0.99528
66499;0.995231
66599;0.995278
66699;0.995253
66799;0.995338
66899;0.995336
66999;0.995276
67099;0.995298
67199;0.995466
67299;0.995414
67399;0.99543
67499;0.995508
67599;0.995583
67699;0.99576
67799;0.995785
67899;0.995873
67999;0.995792
68099;0.995834
68199;0.995919
68299;0.995826
68399;0.995782
68499;0.995696
68599;0.995735
68699;0.995844
68799;0.995982
68899;0.995981
68999;0.995969
69099;0.995998
69199;0.995922
69299;0.995991
69399;0.995895
69499;0.99603
69599;0.99596
69699;0.995855
69799;0.995863
69899;0.995955
69999;0.996023
70099;0.995963
70199;0.995995
70299;0.995932
70399;0.996028
70499;0.99601
70599;0.995958
70699;0.995933
70799;0.996086
70899;0.996076
70999;0.996026
71099;0.996134
71199;0.996269
71299;0.996307
71399;0.99647
71499;0.996537
71599;0.996586
71699;0.996613
71799;0.996678
71899;0.996629
71999;0.996739
72099;0.996707
72199;0.996531
72299;0.996561
72399;0.996583
72499;0.996563
72599;0.996644
72699;0.996713
72799;0.996858
72899;0.996892
72999;0.996856
73099;0.996899
73199;0.996816
73299;0.996779
73399;0.996812
73499;0.99687
73599;0.996747
73699;0.996842
73799;0.996801
73899;0.99679
