#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.98406     1.98406           0
           2     1.91409     1.94907   0.0247388
           3     1.90989     1.93601   0.0196405
           4     1.94233     1.93759   0.0147937
           5     1.93786     1.93765   0.0118351
           6     1.91625     1.93408   0.0103858
           7     1.93703      1.9345  0.00891063
           8     1.99294     1.94181    0.010367
           9     1.99992     1.94826   0.0110442
          10     1.93811     1.94725  0.00998639
          11     1.92645     1.94536  0.00925574
          12     1.96444     1.94695  0.00862002
          13     1.96755     1.94853  0.00810135
          14     1.91248     1.94596  0.00792148
          15     1.97238     1.94772  0.00758672
          16     1.94305     1.94743  0.00711816
          17      1.9348     1.94668  0.00673811
          18     1.95518     1.94716   0.0063803
          19     1.92667     1.94608   0.0061349
          20      1.9576     1.94665  0.00585516
