#   N_BLOCK:  ACCEPTANCE:
           1    0.999241
           2    0.998796
           3      0.9985
           4    0.998275
           5    0.998033
           6    0.997892
           7    0.997761
           8    0.997657
           9    0.997551
          10    0.997446
          11     0.99738
          12    0.997315
          13    0.997252
          14     0.99719
          15    0.997138
          16     0.99709
          17    0.997025
          18    0.996987
          19    0.996946
          20    0.996875
