#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0824157   0.0824157           0
           2-8.01828e-13   0.0412079   0.0291384
           3-8.01828e-13   0.0274719   0.0224307
           4-8.01828e-13   0.0206039   0.0178435
           5-8.01828e-13   0.0164831    0.014743
           6-8.01828e-13    0.013736   0.0125392
           7-8.01828e-13   0.0117737   0.0109003
           8-8.01828e-13    0.010302  0.00963661
           9-8.01828e-13   0.0091573  0.00863359
          10-8.01828e-13  0.00824157  0.00781864
          11-8.01828e-13  0.00749234  0.00714366
          12-8.01828e-13  0.00686798  0.00657559
          13-8.01828e-13  0.00633967  0.00609096
          14-8.01828e-13  0.00588684   0.0056727
          15-8.01828e-13  0.00549438  0.00530808
          16-8.01828e-13  0.00515098  0.00498742
          17-8.01828e-13  0.00484798  0.00470324
          18-8.01828e-13  0.00457865  0.00444965
          19-8.01828e-13  0.00433767  0.00422198
          20-8.01828e-13  0.00412079  0.00401645
