#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.999944    0.999944           0
           2           1    0.999972  1.9799e-05
           3           1    0.999981 1.52413e-05
           4           1    0.999986 1.21244e-05
           5           1    0.999989 1.00176e-05
           6           1    0.999991 8.52013e-06
           7           1    0.999992 7.40656e-06
           8           1    0.999993  6.5479e-06
           9           1    0.999994 5.86637e-06
          10           1    0.999994 5.31263e-06
          11           1    0.999995 4.85399e-06
          12           1    0.999995 4.46799e-06
          13           1    0.999996  4.1387e-06
          14           1    0.999996  3.8545e-06
          15           1    0.999996 3.60674e-06
          16           1    0.999996 3.38886e-06
          17           1    0.999997 3.19576e-06
          18           1    0.999997 3.02346e-06
          19           1    0.999997 2.86876e-06
          20           1    0.999997  2.7291e-06
