#   N_BLOCK:  ACCEPTANCE:
           1    0.000128
           2     6.4e-05
           3 4.26667e-05
           4     3.2e-05
           5    2.56e-05
           6 2.13333e-05
           7 1.82857e-05
           8     1.6e-05
           9 1.42222e-05
          10    1.28e-05
          11 1.16364e-05
          12 1.06667e-05
          13 9.84615e-06
          14 9.14286e-06
          15 8.53333e-06
          16       8e-06
          17 7.52941e-06
          18 7.11111e-06
          19 6.73684e-06
          20     6.4e-06
