#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.99989     0.99989           0
           2           1    0.999945 3.88909e-05
           3           1    0.999963 2.99382e-05
           4           1    0.999972 2.38157e-05
           5           1    0.999978 1.96774e-05
           6           1    0.999982  1.6736e-05
           7           1    0.999984 1.45486e-05
           8           1    0.999986 1.28619e-05
           9           1    0.999988 1.15232e-05
          10           1    0.999989 1.04355e-05
          11           1     0.99999 9.53463e-06
          12           1    0.999991 8.77641e-06
          13           1    0.999992 8.12958e-06
          14           1    0.999992 7.57133e-06
          15           1    0.999993 7.08467e-06
          16           1    0.999993 6.65669e-06
          17           1    0.999994 6.27739e-06
          18           1    0.999994 5.93893e-06
          19           1    0.999994 5.63506e-06
          20           1    0.999995 5.36074e-06
