#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     49.9916     49.9916           0
           2          50     49.9958  0.00297692
           3          50     49.9972  0.00229163
           4          50     49.9979  0.00182298
           5          50     49.9983  0.00150622
           6          50     49.9986  0.00128106
           7          50     49.9988  0.00111363
           8          50     49.9989 0.000984524
           9          50     49.9991  0.00088205
          10          50     49.9992 0.000798791
          11          50     49.9992 0.000729832
          12          50     49.9993 0.000671795
          13          50     49.9994 0.000622283
          14          50     49.9994 0.000579551
          15          50     49.9994   0.0005423
          16          50     49.9995 0.000509539
          17          50     49.9995 0.000480506
          18          50     49.9995 0.000454598
          19          50     49.9996 0.000431338
          20          50     49.9996  0.00041034
