#   N_BLOCK:  ACCEPTANCE:
           1    0.999194
           2    0.998782
           3    0.998469
           4    0.998213
           5     0.99798
           6    0.997861
           7    0.997735
           8    0.997638
           9    0.997551
          10    0.997428
          11    0.997355
          12    0.997292
          13    0.997238
          14    0.997159
          15    0.997105
          16    0.997058
          17    0.996998
          18    0.996959
          19     0.99691
          20     0.99684
