#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0920889   0.0920889           0
           2           0   0.0460444   0.0325583
           3           0   0.0306963   0.0250634
           4           0   0.0230222   0.0199378
           5           0   0.0184178   0.0164734
           6           0   0.0153481   0.0140109
           7           0   0.0131556   0.0121797
           8           0   0.0115111   0.0107677
           9           0   0.0102321  0.00964692
          10           0  0.00920889  0.00873632
          11           0  0.00837172  0.00798212
          12           0  0.00767407  0.00734737
          13           0  0.00708376  0.00680586
          14           0  0.00657778  0.00633851
          15           0  0.00613926  0.00593109
          16           0  0.00575556  0.00557279
          17           0  0.00541699  0.00525526
          18           0  0.00511605  0.00497191
          19           0  0.00484678  0.00471751
          20           0  0.00460444  0.00448786
