#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     49.9693     49.9693           0
           2          50     49.9847   0.0108428
           3          50     49.9898  0.00834677
           4          50     49.9923  0.00663982
           5          50     49.9939  0.00548606
           6          50     49.9949  0.00466599
           7          50     49.9956  0.00405615
           8          50     49.9962  0.00358591
           9          50     49.9966  0.00321267
          10          50     49.9969  0.00290942
          11          50     49.9972  0.00265825
          12          50     49.9974  0.00244686
          13          50     49.9976  0.00226653
          14          50     49.9978  0.00211089
          15          50      49.998  0.00197521
          16          50     49.9981  0.00185589
          17          50     49.9982  0.00175014
          18          50     49.9983  0.00165577
          19          50     49.9984  0.00157105
          20          50     49.9985  0.00149457
