#   N_BLOCK:  ACCEPTANCE:
           1    0.999167
           2    0.998736
           3    0.998426
           4    0.998183
           5    0.997952
           6    0.997826
           7    0.997702
           8    0.997598
           9    0.997506
          10     0.99738
          11    0.997292
          12    0.997218
          13     0.99715
          14    0.997084
          15    0.997025
          16     0.99698
          17    0.996919
          18    0.996883
          19    0.996834
          20    0.996763
