#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.91186     1.80429  0.00475521
         169     1.88074     1.80474  0.00474854
         170      1.8594     1.80506  0.00473148
         171      1.8409     1.80527  0.00470845
         172     1.84678     1.80551  0.00468725
         173     1.87721     1.80593  0.00467844
         174     1.90491      1.8065  0.00468601
         175     1.93274     1.80722  0.00471444
         176      1.9452       1.808  0.00475239
         177     1.93927     1.80875  0.00478306
         178       1.925      1.8094  0.00480057
         179     1.89955      1.8099   0.0048001
         180     1.89995      1.8104  0.00479943
         181     1.89086     1.81085  0.00479346
         182     1.85787     1.81111  0.00477408
         183     1.83162     1.81122  0.00474931
         184     1.80123     1.81116  0.00472381
         185     1.80268     1.81112  0.00469849
         186     1.84033     1.81127  0.00467586
         187     1.84583     1.81146   0.0046545
         188     1.83551     1.81159   0.0046315
         189     1.79007     1.81147   0.0046084
         190     1.76338     1.81122  0.00459109
         191     1.77144     1.81101  0.00457177
         192     1.82864      1.8111  0.00454888
         193     1.86396     1.81138  0.00453355
         194     1.83575      1.8115  0.00451192
         195     1.83618     1.81163  0.00449056
         196     1.84347     1.81179  0.00447059
         197     1.87373     1.81211  0.00445894
         198     1.86888     1.81239  0.00444563
         199     1.84215     1.81254   0.0044258
         200     1.85749     1.81277  0.00440937
         201     1.86258     1.81302   0.0043944
         202     1.89389     1.81342  0.00439084
         203     1.90248     1.81385  0.00439108
         204     1.88871     1.81422  0.00438486
         205     1.86602     1.81447  0.00437074
         206     1.87269     1.81476  0.00435865
         207     1.85367     1.81494  0.00434165
         208     1.81908     1.81496  0.00432082
         209     1.79821     1.81488  0.00430089
         210     1.79484     1.81479  0.00428147
         211     1.81301     1.81478  0.00426119
         212     1.83848     1.81489  0.00424255
         213     1.84785     1.81505  0.00422546
         214     1.81701     1.81506  0.00420572
         215     1.83286     1.81514  0.00418697
         216     1.85433     1.81532  0.00417152
         217     1.87791     1.81561  0.00416226
         218     1.84144     1.81573  0.00414485
         219     1.77391     1.81554  0.00413032
         220     1.76193     1.81529  0.00411873
         221     1.79141     1.81518  0.00410151
         222     1.81006     1.81516   0.0040831
         223     1.79249     1.81506  0.00406605
         224     1.79518     1.81497  0.00404887
         225     1.77808     1.81481  0.00403419
         226     1.79847     1.81473  0.00401699
         227     1.82211     1.81477  0.00399943
         228     1.80728     1.81473  0.00398202
         229       1.813     1.81473  0.00396464
         230     1.84804     1.81487  0.00395005
         231     1.88243     1.81516  0.00394376
         232     1.85727     1.81535  0.00393093
         233     1.81262     1.81533  0.00391408
         234     1.80571     1.81529  0.00389757
         235     1.80231     1.81524  0.00388137
         236     1.77309     1.81506  0.00386904
         237     1.79469     1.81497  0.00385366
         238     1.83902     1.81507   0.0038388
         239     1.89235      1.8154  0.00383633
         240     1.87294     1.81564  0.00382783
         241     1.82299     1.81567  0.00381207
         242     1.82817     1.81572  0.00379666
         243     1.85257     1.81587  0.00378407
         244     1.86553     1.81607  0.00377403
         245     1.88821     1.81637  0.00377009
         246     1.87478     1.81661  0.00376224
         247      1.8787     1.81686  0.00375539
         248     1.86913     1.81707  0.00374616
         249      1.8947     1.81738  0.00374407
         250     1.90934     1.81775  0.00374712
         251     1.88813     1.81803  0.00374267
         252     1.90588     1.81838  0.00374401
         253     1.89714     1.81869  0.00374214
