#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         153   0.0608068   0.0599392   0.0001687
         154   0.0614787   0.0599492   0.0001679
         155   0.0617791    0.059961 0.000167231
         156   0.0611982   0.0599689 0.000166347
         157    0.059818   0.0599679 0.000165291
         158   0.0610423   0.0599747 0.000164384
         159   0.0620744   0.0599879  0.00016388
         160   0.0616739   0.0599985 0.000163194
         161   0.0612379   0.0600062 0.000162362
         162   0.0609153   0.0600118 0.000161457
         163   0.0605133   0.0600149 0.000160495
         164   0.0597463   0.0600132 0.000159525
         165   0.0599445   0.0600128 0.000158559
         166   0.0609744   0.0600186 0.000157709
         167   0.0624153    0.060033 0.000157417
         168   0.0635588   0.0600539 0.000157873
         169   0.0626101   0.0600691 0.000157661
         170   0.0618511   0.0600796 0.000157082
         171   0.0612642   0.0600865 0.000156316
         172   0.0615158   0.0600948 0.000155628
         173   0.0624124   0.0601082 0.000155304
         174   0.0633971   0.0601271 0.000155557
         175   0.0642845   0.0601508 0.000156472
         176   0.0647871   0.0601772 0.000157785
         177   0.0644878   0.0602015 0.000158762
         178   0.0640658   0.0602233 0.000159347
         179    0.063161   0.0602397   0.0001593
         180   0.0632399   0.0602563 0.000159284
         181   0.0630179   0.0602716 0.000159134
         182   0.0618086     0.06028 0.000158483
         183   0.0609345   0.0602836 0.000157657
         184    0.059883   0.0602814 0.000156816
         185   0.0599948   0.0602799 0.000155976
         186   0.0613068   0.0602854 0.000155235
         187    0.061401   0.0602914 0.000154519
         188   0.0610141   0.0602952 0.000153745
         189   0.0596576   0.0602918 0.000152969
         190    0.058663   0.0602833 0.000152404
         191    0.058943   0.0602763 0.000151767
         192   0.0608789   0.0602794 0.000151009
         193    0.062047   0.0602886 0.000150504
         194   0.0610964   0.0602927 0.000149786
         195   0.0610301   0.0602965 0.000149065
         196   0.0613187   0.0603017 0.000148396
         197   0.0623718   0.0603122 0.000148014
         198   0.0621842   0.0603217 0.000147569
         199   0.0613298   0.0603267 0.000146914
         200    0.061776    0.060334 0.000146358
         201    0.061946    0.060342 0.000145849
         202    0.062981   0.0603551 0.000145711
         203   0.0633044   0.0603696 0.000145716
         204   0.0628865   0.0603819 0.000145523
         205   0.0621257   0.0603904 0.000145062
         206   0.0624116   0.0604003 0.000144689
         207   0.0617207   0.0604066  0.00014413
         208   0.0605273   0.0604072 0.000143439
         209   0.0598312   0.0604045 0.000142779
         210   0.0597301   0.0604012 0.000142135
         211     0.06029   0.0604007 0.000141462
         212   0.0612272   0.0604046 0.000140849
         213   0.0614859   0.0604097 0.000140279
         214   0.0605067   0.0604101 0.000139624
         215   0.0609958   0.0604129 0.000139001
         216    0.061769   0.0604191   0.0001385
         217   0.0625107   0.0604288 0.000138196
         218   0.0613049   0.0604328 0.000137621
         219    0.058979   0.0604262 0.000137152
         220     0.05866   0.0604181 0.000136764
         221   0.0595686   0.0604143 0.000136199
         222   0.0602925   0.0604137 0.000135587
         223   0.0596711   0.0604104 0.000135019
         224   0.0597223   0.0604073 0.000134452
         225   0.0592161   0.0604021 0.000133958
         226    0.059803   0.0603994 0.000133392
         227   0.0606965   0.0604007  0.00013281
         228    0.060123   0.0603995 0.000132234
         229   0.0602905    0.060399 0.000131657
         230   0.0615249   0.0604039 0.000131176
         231   0.0627053   0.0604139 0.000130985
         232   0.0618145   0.0604199  0.00013056
         233   0.0602769   0.0604193 0.000130001
         234   0.0600987   0.0604179 0.000129453
         235   0.0599635    0.060416 0.000128916
         236   0.0588907   0.0604095 0.000128532
         237   0.0596627   0.0604064 0.000128028
         238   0.0611389   0.0604095 0.000127527
         239   0.0630333   0.0604204 0.000127465
         240   0.0623424   0.0604284 0.000127186
         241   0.0607088   0.0604296 0.000126663
         242   0.0607671    0.060431 0.000126147
         243    0.061673   0.0604361 0.000125732
         244   0.0620523   0.0604427 0.000125391
         245   0.0628101   0.0604524 0.000125251
         246   0.0623179     0.06046 0.000124971
         247   0.0624804   0.0604682 0.000124732
         248   0.0622542   0.0604754 0.000124437
         249    0.063032   0.0604856  0.00012436
         250   0.0635224   0.0604978 0.000124455
         251   0.0628354   0.0605071 0.000124307
         252   0.0634507   0.0605188 0.000124361
         253   0.0631424   0.0605291 0.000124301
         254   0.0626874   0.0605376 0.000124102
         255    0.061484   0.0605414 0.000123671
         256   0.0599391    0.060539  0.00012321
         257   0.0602712    0.060538 0.000122735
         258   0.0612173   0.0605406 0.000122288
         259   0.0626903   0.0605489 0.000122097
         260   0.0628891   0.0605579 0.000121958
         261   0.0621222   0.0605639 0.000121638
         262   0.0622898   0.0605705 0.000121352
         263   0.0621415   0.0605764 0.000121038
