#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.368356    0.368356           0
           2           0    0.184178    0.130233
           3           0    0.122785    0.100254
           4           0   0.0920889   0.0797513
           5           0   0.0736711   0.0658934
           6           0   0.0613926   0.0560435
           7           0   0.0526222   0.0487187
           8           0   0.0460444   0.0430706
           9           0   0.0409284   0.0385877
          10           0   0.0368356   0.0349453
          11           0   0.0334869   0.0319285
          12           0   0.0306963   0.0293895
          13           0    0.028335   0.0272234
          14           0   0.0263111    0.025354
          15           0    0.024557   0.0237244
          16           0   0.0230222   0.0222912
          17           0    0.021668    0.021021
          18           0   0.0204642   0.0198876
          19           0   0.0193871   0.0188701
          20           0   0.0184178   0.0179514
