#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.999892    0.999892           0
           2           1    0.999946 3.81838e-05
           3           1    0.999964 2.93939e-05
           4           1    0.999973 2.33827e-05
           5           1    0.999978 1.93196e-05
           6           1    0.999982 1.64317e-05
           7           1    0.999985 1.42841e-05
           8           1    0.999987 1.26281e-05
           9           1    0.999988 1.13137e-05
          10           1    0.999989 1.02458e-05
          11           1     0.99999 9.36127e-06
          12           1    0.999991 8.61684e-06
          13           1    0.999992 7.98177e-06
          14           1    0.999992 7.43367e-06
          15           1    0.999993 6.95586e-06
          16           1    0.999993 6.53566e-06
          17           1    0.999994 6.16326e-06
          18           1    0.999994 5.83095e-06
          19           1    0.999994  5.5326e-06
          20           1    0.999995 5.26327e-06
