#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      0.0518      0.0518           0
           2           0      0.0259   0.0183141
           3           0   0.0172667   0.0140982
           4           0     0.01295    0.011215
           5           0     0.01036  0.00926627
           6           0  0.00863333  0.00788112
           7           0      0.0074  0.00685107
           8           0    0.006475  0.00605681
           9           0  0.00575556  0.00542639
          10           0     0.00518  0.00491418
          11           0  0.00470909  0.00448994
          12           0  0.00431667  0.00413289
          13           0  0.00398462  0.00382829
          14           0      0.0037  0.00356541
          15           0  0.00345333  0.00333624
          16           0   0.0032375   0.0031347
          17           0  0.00304706  0.00295608
          18           0  0.00287778   0.0027967
          19           0  0.00272632   0.0026536
          20           0     0.00259  0.00252442
