Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
0.66;	0.517467;	0.0197863;	0.493096;	0.00867101;	38.8991;	0.917606;	-0.930985;	0.00181452
0.67;	0.507376;	0.0188625;	0.49583;	0.00762513;	37.1563;	0.881227;	-0.926664;	0.00174138
0.68;	0.497561;	0.0186239;	0.511793;	0.00785778;	36.3257;	0.813978;	-0.923562;	0.00169364
0.69;	0.480357;	0.016839;	0.515823;	0.00776467;	33.8575;	0.826463;	-0.917797;	0.00172684
0.70;	0.479838;	0.0156731;	0.518286;	0.00782909;	32.8194;	0.741872;	-0.9144;	0.00161924
0.71;	0.453585;	0.0168752;	0.518862;	0.00796744;	31.0896;	0.754877;	-0.909215;	0.00161483
0.72;	0.42457;	0.0164528;	0.524609;	0.00857977;	29.5903;	0.643156;	-0.903812;	0.0014495
0.73;	0.409396;	0.0156633;	0.514315;	0.00807296;	27.7602;	0.545438;	-0.898501;	0.00132554
0.74;	0.375093;	0.0158706;	0.511137;	0.00719652;	26.1756;	0.529485;	-0.893058;	0.00135908
0.75;	0.372958;	0.0159224;	0.509753;	0.00740276;	24.8948;	0.581485;	-0.88854;	0.00149229
0.76;	0.342318;	0.0152652;	0.496597;	0.00740145;	23.0242;	0.538029;	-0.882901;	0.00134628
0.77;	0.339213;	0.0134002;	0.502327;	0.00693414;	22.0923;	0.492211;	-0.878045;	0.00127884
0.78;	0.323247;	0.0133801;	0.502735;	0.00621111;	21.0378;	0.425054;	-0.872607;	0.00120605
0.79;	0.310599;	0.0139581;	0.504342;	0.00592276;	20.3254;	0.394633;	-0.868493;	0.00113315
0.80;	0.299595;	0.0113765;	0.499963;	0.00724577;	18.6611;	0.395672;	-0.862295;	0.00111668
0.81;	0.28485;	0.0118116;	0.500326;	0.00694214;	18.0311;	0.361027;	-0.857627;	0.00111532
0.82;	0.264968;	0.0112098;	0.495777;	0.00610363;	17.0545;	0.319863;	-0.852371;	0.00108867
0.83;	0.254506;	0.0111581;	0.487748;	0.00618409;	16.1914;	0.311944;	-0.846817;	0.00104397
0.84;	0.240458;	0.0109635;	0.488909;	0.00624666;	15.589;	0.339348;	-0.842244;	0.0011096
0.85;	0.217379;	0.0103636;	0.480316;	0.00579261;	14.6573;	0.320469;	-0.837124;	0.00111053
0.86;	0.219041;	0.0104278;	0.477289;	0.0052325;	14.0452;	0.29225;	-0.831898;	0.00108463
0.87;	0.213157;	0.00985067;	0.472192;	0.00556161;	13.5046;	0.273552;	-0.827562;	0.00101456
0.88;	0.218432;	0.00889461;	0.469547;	0.00530079;	13.0996;	0.248047;	-0.823815;	0.000945327
0.89;	0.214236;	0.00930797;	0.467054;	0.00513575;	12.5352;	0.250125;	-0.819212;	0.00098901
0.90;	0.197894;	0.00900454;	0.464473;	0.00524496;	12.0016;	0.219406;	-0.813983;	0.000976934
0.91;	0.181432;	0.00876267;	0.458042;	0.00478048;	11.263;	0.197105;	-0.808163;	0.000927231
0.92;	0.182494;	0.00813598;	0.450541;	0.00454217;	10.7327;	0.184011;	-0.803003;	0.000877095
0.93;	0.18211;	0.0075374;	0.453557;	0.00434513;	10.2985;	0.182503;	-0.797719;	0.000866911
0.94;	0.171458;	0.00738492;	0.451431;	0.00405575;	9.9504;	0.168526;	-0.79369;	0.000887257
0.95;	0.158711;	0.00741986;	0.447051;	0.00416048;	9.55105;	0.168468;	-0.789329;	0.0008436
0.96;	0.158104;	0.00774798;	0.449098;	0.00477732;	9.42126;	0.173153;	-0.78564;	0.00084117
0.97;	0.152664;	0.00711061;	0.44353;	0.00443438;	9.07621;	0.15693;	-0.780036;	0.000875076
0.98;	0.143944;	0.00643164;	0.441546;	0.00424947;	8.92397;	0.127019;	-0.776452;	0.000839809
0.99;	0.145224;	0.00631667;	0.445366;	0.00428777;	8.6313;	0.146166;	-0.772531;	0.000801239
1.00;	0.139422;	0.00597285;	0.436272;	0.00395845;	8.30584;	0.147501;	-0.767939;	0.000766557
1.01;	0.130422;	0.00605801;	0.428659;	0.00403802;	7.91482;	0.123394;	-0.763255;	0.000721063
1.02;	0.12639;	0.00598215;	0.425637;	0.00375112;	7.56813;	0.114111;	-0.758231;	0.000734902
1.03;	0.120784;	0.00564474;	0.425365;	0.00377683;	7.27017;	0.112677;	-0.753971;	0.000733763
1.04;	0.114971;	0.00534924;	0.418773;	0.00338429;	6.85715;	0.10136;	-0.748949;	0.000695927
1.05;	0.116136;	0.00592259;	0.41665;	0.00303409;	6.76669;	0.0945935;	-0.745335;	0.000639479
1.06;	0.120916;	0.00545943;	0.412974;	0.00287866;	6.69725;	0.0923448;	-0.741792;	0.000659439
1.07;	0.119262;	0.00627336;	0.414817;	0.00314001;	6.61794;	0.101829;	-0.737852;	0.000736247
1.08;	0.119368;	0.00565313;	0.412148;	0.00328858;	6.52934;	0.0984341;	-0.734266;	0.000722324
