Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
0.66;	-0.247037;	0.0356414;	0.393963;	0.0083956;	33.5439;	1.04272;	-0.907613;	0.00154348
0.67;	-0.222943;	0.0346859;	0.403416;	0.00866262;	31.5772;	1.01589;	-0.90386;	0.00161101
0.68;	-0.232879;	0.032305;	0.405959;	0.00824245;	30.372;	0.938435;	-0.900326;	0.00158983
0.69;	-0.224989;	0.0305082;	0.406612;	0.00788131;	28.4896;	0.887394;	-0.895935;	0.00139615
0.70;	-0.207981;	0.0284541;	0.405006;	0.00732082;	25.9325;	0.79013;	-0.890713;	0.00138205
0.71;	-0.193485;	0.0275171;	0.408932;	0.00774834;	23.9748;	0.750317;	-0.885458;	0.00137675
0.72;	-0.180805;	0.0261066;	0.421784;	0.00750933;	22.9709;	0.709046;	-0.881067;	0.00134937
0.73;	-0.158812;	0.0249571;	0.419665;	0.00751712;	22.1301;	0.658802;	-0.877731;	0.00138364
0.74;	-0.164682;	0.0245013;	0.42308;	0.00656847;	21.5303;	0.644757;	-0.873957;	0.00130129
0.75;	-0.162271;	0.0222707;	0.421505;	0.00649653;	20.0731;	0.602016;	-0.868075;	0.00125221
0.76;	-0.159593;	0.0218102;	0.421224;	0.00593084;	18.9839;	0.515807;	-0.863067;	0.00121467
0.77;	-0.163751;	0.0200331;	0.418646;	0.00561712;	17.9879;	0.488167;	-0.858871;	0.00126714
0.78;	-0.163433;	0.019063;	0.41915;	0.0056457;	17.24;	0.45469;	-0.854399;	0.00121024
0.79;	-0.150272;	0.018008;	0.421037;	0.00575354;	16.4085;	0.430845;	-0.850227;	0.00113964
0.80;	-0.150798;	0.0169234;	0.428007;	0.00549966;	15.8792;	0.404992;	-0.845968;	0.00113249
0.81;	-0.146402;	0.0167361;	0.428215;	0.00566012;	15.1976;	0.392732;	-0.842074;	0.00120037
0.82;	-0.133578;	0.0158684;	0.431264;	0.00589877;	14.4901;	0.372022;	-0.837876;	0.00121649
0.83;	-0.130785;	0.0149321;	0.433486;	0.00585253;	13.8604;	0.347663;	-0.833133;	0.00115797
0.84;	-0.121545;	0.0150333;	0.433113;	0.00598856;	13.2031;	0.35547;	-0.82862;	0.00112776
0.85;	-0.120761;	0.0142385;	0.432594;	0.00554757;	12.7376;	0.331144;	-0.824574;	0.00108869
0.86;	-0.113822;	0.0140546;	0.43363;	0.00497902;	12.2591;	0.305411;	-0.820008;	0.00105934
0.87;	-0.105305;	0.0135381;	0.436728;	0.00465533;	11.6676;	0.3051;	-0.815383;	0.00102249
0.88;	-0.10109;	0.0121941;	0.430486;	0.00445002;	11.2479;	0.263098;	-0.81166;	0.000970334
0.89;	-0.0974576;	0.0124595;	0.431887;	0.00476634;	10.9532;	0.268929;	-0.80782;	0.000953919
0.90;	-0.0880744;	0.0120734;	0.429492;	0.00450821;	10.3759;	0.252648;	-0.803979;	0.000901191
0.91;	-0.085036;	0.0117737;	0.426831;	0.00429688;	10.0677;	0.242597;	-0.800031;	0.000871342
0.92;	-0.082064;	0.0110634;	0.425975;	0.00398156;	9.65379;	0.226219;	-0.795739;	0.000868422
0.93;	-0.077994;	0.0106301;	0.423612;	0.00385291;	9.39603;	0.198848;	-0.791359;	0.000841501
0.94;	-0.0747156;	0.0103841;	0.422388;	0.00399421;	9.01655;	0.198108;	-0.786731;	0.000856881
0.95;	-0.0758432;	0.0101804;	0.419423;	0.00354357;	8.68473;	0.19158;	-0.781697;	0.000821689
0.96;	-0.0744428;	0.00967378;	0.417487;	0.00330683;	8.41366;	0.170979;	-0.777615;	0.000812371
0.97;	-0.0770208;	0.00920469;	0.414966;	0.00312717;	8.09791;	0.171591;	-0.773034;	0.00082352
0.98;	-0.0797708;	0.00866609;	0.413517;	0.0033192;	7.9996;	0.159443;	-0.76929;	0.000817234
0.99;	-0.0773956;	0.00881214;	0.411512;	0.00320541;	7.8109;	0.151256;	-0.765438;	0.000813979
1.00;	-0.0702528;	0.00851851;	0.412071;	0.00310278;	7.5391;	0.139438;	-0.761216;	0.000796076
1.01;	-0.0660608;	0.00824856;	0.412442;	0.00301051;	7.39295;	0.130251;	-0.7574;	0.000825959
1.02;	-0.0686628;	0.00770021;	0.410045;	0.00303339;	7.1898;	0.124153;	-0.753448;	0.000840284
1.03;	-0.0665012;	0.00765219;	0.408117;	0.00330338;	7.07476;	0.125389;	-0.74986;	0.000842915
1.04;	-0.0657376;	0.00746396;	0.405715;	0.00331657;	7.01191;	0.123602;	-0.74664;	0.000846881
1.05;	-0.0655868;	0.00729885;	0.403733;	0.00312452;	6.80576;	0.118602;	-0.742914;	0.000814545
1.06;	-0.0627936;	0.00706833;	0.401217;	0.0031361;	6.55519;	0.111306;	-0.738332;	0.000824026
1.07;	-0.0624464;	0.00691671;	0.400067;	0.00313805;	6.40014;	0.105892;	-0.73439;	0.000787688
