Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
            1.92;	0.000129808;	0.000313045;	0.208865;	0.000149743;	1.47633;	0.0019112;	-0.47845;	8.37592e-05
            1.93;	0.00014764;	0.00031155;	0.207234;	0.000148448;	1.46082;	0.0018573;	-0.476361;	8.41698e-05
            1.94;	0.000120928;	0.000309521;	0.205617;	0.00014749;	1.44585;	0.00184092;	-0.474318;	8.37397e-05
            1.95;	8.4488e-05;	0.000308541;	0.204044;	0.000147047;	1.43097;	0.0017928;	-0.472249;	8.35985e-05
            1.96;	9.6336e-05;	0.000303136;	0.202501;	0.000146655;	1.41635;	0.00177179;	-0.470204;	8.36679e-05
            1.97;	0.000136768;	0.000302168;	0.200919;	0.000145385;	1.40191;	0.00173841;	-0.468195;	8.33786e-05
            1.98;	0.000164808;	0.000301763;	0.199358;	0.000145724;	1.38752;	0.0017073;	-0.466195;	8.34608e-05
            1.99;	0.0001586;	0.000301251;	0.197801;	0.000143861;	1.37289;	0.0016882;	-0.46419;	8.23924e-05
            2.00;	0.000139384;	0.000298275;	0.196317;	0.000143372;	1.35923;	0.00165402;	-0.462196;	8.24482e-05
            2.01;	0.000131392;	0.000297453;	0.194853;	0.000142649;	1.34563;	0.00162329;	-0.460229;	8.33931e-05
            2.02;	8.8e-05;	0.000297536;	0.193404;	0.00014203;	1.33223;	0.00160737;	-0.458276;	8.31307e-05
            2.03;	0.000108944;	0.000295786;	0.191968;	0.000141056;	1.31923;	0.00160692;	-0.456358;	8.25025e-05
            2.04;	7.3672e-05;	0.000293523;	0.190504;	0.000139761;	1.30665;	0.00158876;	-0.454459;	8.31469e-05
            2.05;	0.000109192;	0.000292799;	0.189058;	0.000138714;	1.29403;	0.0015683;	-0.452562;	8.31209e-05
            2.06;	8.6176e-05;	0.000289394;	0.187656;	0.00013718;	1.2818;	0.00155378;	-0.450671;	8.31993e-05
            2.07;	4.8696e-05;	0.000287927;	0.186216;	0.000136388;	1.26964;	0.00153674;	-0.448788;	8.29558e-05
            2.08;	9.6024e-05;	0.000286633;	0.184796;	0.000133029;	1.25767;	0.00150168;	-0.446934;	8.27879e-05
            2.09;	0.000108376;	0.000286395;	0.183399;	0.000132519;	1.24557;	0.00147976;	-0.445109;	8.28246e-05
            2.10;	7.7832e-05;	0.000285463;	0.182028;	0.000131289;	1.23373;	0.0014617;	-0.443286;	8.32617e-05
            2.11;	3.9672e-05;	0.000285116;	0.180673;	0.000131281;	1.22237;	0.00143603;	-0.441475;	8.37398e-05
            2.12;	3.9936e-05;	0.000283707;	0.179331;	0.000128861;	1.21091;	0.00142243;	-0.439667;	8.37953e-05
            2.13;	-1.608e-06;	0.000282388;	0.177996;	0.000127251;	1.19967;	0.00142652;	-0.437868;	8.37935e-05
            2.14;	-3.656e-06;	0.000281001;	0.176687;	0.00012606;	1.18899;	0.00142049;	-0.436077;	8.37429e-05
            2.15;	3.928e-06;	0.000278752;	0.175391;	0.000124934;	1.17826;	0.00141362;	-0.434305;	8.38609e-05
            2.16;	1.1784e-05;	0.000277665;	0.174102;	0.00012299;	1.16751;	0.00139213;	-0.432554;	8.34251e-05
            2.17;	4.1472e-05;	0.000276915;	0.172804;	0.000122567;	1.15727;	0.00137718;	-0.430815;	8.35186e-05
            2.18;	-1.3072e-05;	0.000275848;	0.171542;	0.000121717;	1.14724;	0.00136105;	-0.429111;	8.29606e-05
            2.19;	-5.3632e-05;	0.00027394;	0.1703;	0.000121625;	1.13707;	0.00134444;	-0.427408;	8.26102e-05
            2.20;	-7.9696e-05;	0.000272368;	0.169074;	0.000120958;	1.12733;	0.00132305;	-0.425697;	8.22229e-05
