Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
0.69;	-0.00508996;	0.00882868;	0.431196;	0.00196912;	26.2018;	0.216237;	-0.896692;	0.000416326
0.70;	-0.00137932;	0.00738527;	0.430646;	0.00196671;	24.7467;	0.188452;	-0.892363;	0.000387391
0.71;	-0.00315608;	0.00735978;	0.432919;	0.00223864;	23.7304;	0.192237;	-0.888369;	0.000368583
0.72;	-0.00666292;	0.00738793;	0.435421;	0.0022021;	22.5046;	0.187845;	-0.883867;	0.000379688
0.73;	-0.0017086;	0.00658097;	0.434444;	0.00194211;	21.0489;	0.149783;	-0.878991;	0.000299026
0.74;	0.0084172;	0.00577974;	0.435571;	0.00206272;	19.9474;	0.154193;	-0.874617;	0.000333019
0.75;	0.00855916;	0.00606127;	0.438903;	0.00192985;	19.2143;	0.142916;	-0.870493;	0.000322048
0.76;	-0.0008632;	0.00519144;	0.438101;	0.00179613;	18.3636;	0.1244;	-0.866215;	0.000296064
0.77;	-0.00498072;	0.00478823;	0.43877;	0.00179982;	17.4253;	0.117306;	-0.861555;	0.00030298
0.78;	0.0102128;	0.0048534;	0.440646;	0.00180436;	16.7869;	0.107921;	-0.857371;	0.000281021
0.79;	0.00320596;	0.00426145;	0.440181;	0.00179534;	15.8874;	0.114922;	-0.852848;	0.00028689
0.80;	0.00406028;	0.00424187;	0.440789;	0.00150244;	15.1482;	0.10092;	-0.84826;	0.000293935
0.81;	0.00158012;	0.00388207;	0.442107;	0.00153497;	14.7094;	0.0888407;	-0.844233;	0.000277741
0.82;	0.00372168;	0.00383936;	0.442289;	0.00133619;	14.0426;	0.0822655;	-0.839491;	0.000291796
0.83;	0.00356916;	0.00374561;	0.442835;	0.00151626;	13.3894;	0.0740315;	-0.835024;	0.000263153
0.84;	-0.00487564;	0.00376909;	0.441422;	0.00147191;	12.8325;	0.0770744;	-0.83048;	0.000264873
0.85;	0.00276752;	0.0032208;	0.441036;	0.00134355;	12.3598;	0.0694467;	-0.826142;	0.000267838
0.86;	-0.00158076;	0.00364691;	0.440473;	0.00134238;	11.9227;	0.0647684;	-0.821861;	0.000272538
0.87;	4.784e-05;	0.00297316;	0.439158;	0.0011953;	11.4367;	0.0645777;	-0.817356;	0.000281453
0.88;	0.00117432;	0.00322626;	0.437832;	0.00134555;	11.0273;	0.0609533;	-0.813099;	0.000277412
0.89;	0.00209616;	0.00322218;	0.436774;	0.00128008;	10.6387;	0.0627076;	-0.808809;	0.000259474
0.90;	0.00174436;	0.00297935;	0.437173;	0.00130551;	10.268;	0.0577127;	-0.804416;	0.000291271
0.91;	0.00335856;	0.00307711;	0.434464;	0.00115637;	9.90376;	0.0508344;	-0.799988;	0.000246775
0.92;	0.00066388;	0.00272747;	0.433338;	0.00127985;	9.60063;	0.0513428;	-0.79587;	0.000264795
