Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
            1.70;	0.0382792;	0.000371886;	0.250766;	0.000182651;	1.94558;	0.00273252;	-0.529946;	8.96954e-05
            1.71;	0.037794;	0.000366797;	0.248712;	0.000179755;	1.9205;	0.00270153;	-0.527461;	8.87545e-05
            1.72;	0.0373717;	0.000364341;	0.246673;	0.000180604;	1.89614;	0.00265942;	-0.525006;	8.81548e-05
            1.73;	0.0369763;	0.000354598;	0.244585;	0.000178987;	1.87183;	0.00261092;	-0.522537;	8.71831e-05
            1.74;	0.0364626;	0.000351406;	0.242622;	0.000178516;	1.84802;	0.00259648;	-0.520092;	8.82139e-05
            1.75;	0.0360273;	0.00034739;	0.240572;	0.000177594;	1.82463;	0.00253098;	-0.517677;	8.76639e-05
            1.76;	0.0356495;	0.000344276;	0.238578;	0.000174058;	1.80293;	0.00249291;	-0.515258;	8.77955e-05
            1.77;	0.0351683;	0.000342622;	0.236657;	0.000174563;	1.78066;	0.00244478;	-0.512877;	8.72735e-05
            1.78;	0.0347987;	0.000340806;	0.234704;	0.000171207;	1.75885;	0.00237557;	-0.51049;	8.70659e-05
            1.79;	0.0344088;	0.000339244;	0.232844;	0.000169559;	1.73762;	0.00233763;	-0.508148;	8.73679e-05
            1.80;	0.0339015;	0.000335393;	0.231037;	0.000167826;	1.71637;	0.00234553;	-0.505807;	8.73498e-05
            1.81;	0.0335038;	0.000332516;	0.22916;	0.000165297;	1.69585;	0.00229083;	-0.503502;	8.68009e-05
            1.82;	0.0331215;	0.000330175;	0.227304;	0.000163171;	1.67584;	0.0022691;	-0.501205;	8.62048e-05
            1.83;	0.0327086;	0.000328455;	0.225457;	0.000159887;	1.65593;	0.0022487;	-0.498918;	8.53248e-05
            1.84;	0.0323788;	0.000326138;	0.223661;	0.000157848;	1.6367;	0.00223143;	-0.496674;	8.43829e-05
            1.85;	0.0320591;	0.000325479;	0.221879;	0.000156574;	1.61779;	0.00220779;	-0.49445;	8.46353e-05
            1.86;	0.0316314;	0.000325414;	0.220143;	0.00015484;	1.59901;	0.00215741;	-0.492238;	8.45626e-05
            1.87;	0.0312534;	0.00032389;	0.218346;	0.000154935;	1.58111;	0.00211931;	-0.490077;	8.48143e-05
            1.88;	0.0309036;	0.000322996;	0.216631;	0.000154738;	1.56437;	0.00210281;	-0.48791;	8.42164e-05
            1.89;	0.0305505;	0.000321694;	0.214932;	0.000155219;	1.54762;	0.00206124;	-0.485754;	8.48219e-05
            1.90;	0.0302295;	0.000320797;	0.213269;	0.000154562;	1.53038;	0.00203247;	-0.483588;	8.52095e-05
            1.91;	0.0299554;	0.000315278;	0.211617;	0.000153211;	1.5137;	0.00199214;	-0.481455;	8.45042e-05
            1.92;	0.0296908;	0.00031206;	0.209968;	0.000153308;	1.49777;	0.00195337;	-0.479374;	8.4427e-05
            1.93;	0.0293791;	0.000312184;	0.208365;	0.000152488;	1.48162;	0.00190452;	-0.477274;	8.48357e-05
            1.94;	0.0290894;	0.000307577;	0.206752;	0.000150905;	1.46583;	0.00188304;	-0.475204;	8.49812e-05
            1.95;	0.0287863;	0.000307288;	0.205166;	0.00014782;	1.45065;	0.00186374;	-0.473139;	8.54159e-05
            1.96;	0.0284561;	0.000305534;	0.203542;	0.00014875;	1.4351;	0.00182612;	-0.471085;	8.50043e-05
            1.97;	0.0281188;	0.00030412;	0.201943;	0.000146223;	1.41992;	0.00181161;	-0.469032;	8.46875e-05
            1.98;	0.027827;	0.000299999;	0.200405;	0.000146342;	1.40549;	0.0017742;	-0.467015;	8.51084e-05
            1.99;	0.0275873;	0.000297125;	0.198858;	0.000144346;	1.39083;	0.0017508;	-0.465029;	8.49039e-05
            2.00;	0.0273058;	0.000297374;	0.197325;	0.00014506;	1.37646;	0.00172804;	-0.463045;	8.52172e-05
            2.01;	0.0270406;	0.000295811;	0.195833;	0.000145196;	1.36207;	0.00171697;	-0.461069;	8.42623e-05
            2.02;	0.0267477;	0.000296357;	0.194318;	0.000144625;	1.34826;	0.00169439;	-0.459118;	8.45465e-05
            2.03;	0.026491;	0.000294195;	0.192861;	0.000144496;	1.33487;	0.00165906;	-0.457163;	8.52826e-05
            2.04;	0.0262065;	0.000291676;	0.19142;	0.000144502;	1.32202;	0.00163534;	-0.455236;	8.496e-05
            2.05;	0.0259359;	0.000290709;	0.189944;	0.000141893;	1.3092;	0.00162473;	-0.453323;	8.4564e-05
            2.06;	0.0257128;	0.000286394;	0.188497;	0.000138583;	1.29618;	0.00159967;	-0.451421;	8.38357e-05
            2.07;	0.0254606;	0.000286757;	0.187059;	0.000136618;	1.28347;	0.00156981;	-0.449545;	8.40315e-05
            2.08;	0.0251943;	0.000286607;	0.185663;	0.000136505;	1.2711;	0.00154715;	-0.447681;	8.41056e-05
            2.09;	0.0249527;	0.000285413;	0.184235;	0.000136228;	1.25888;	0.00153772;	-0.445815;	8.42837e-05
            2.10;	0.0247749;	0.000285135;	0.182842;	0.000135233;	1.24695;	0.00150329;	-0.444007;	8.36901e-05
            2.11;	0.0245364;	0.000284267;	0.181447;	0.000134287;	1.23525;	0.00148537;	-0.44219;	8.3761e-05
            2.12;	0.0243197;	0.000282345;	0.180077;	0.00013116;	1.22371;	0.0014856;	-0.440375;	8.37773e-05
            2.13;	0.0241105;	0.000280871;	0.17878;	0.000131093;	1.21266;	0.00147517;	-0.438583;	8.3691e-05
            2.14;	0.0238397;	0.00027883;	0.177438;	0.000129296;	1.20142;	0.00144993;	-0.436782;	8.39538e-05
            2.15;	0.0236143;	0.0002772;	0.17612;	0.000126819;	1.1904;	0.00143873;	-0.435006;	8.42271e-05
            2.16;	0.0233423;	0.000276822;	0.17482;	0.000127106;	1.17967;	0.00143469;	-0.433251;	8.40382e-05
            2.17;	0.023133;	0.00027426;	0.173545;	0.000125195;	1.16903;	0.00141894;	-0.431518;	8.3833e-05
            2.18;	0.0229186;	0.000272379;	0.172283;	0.000123475;	1.15847;	0.00139762;	-0.429776;	8.37345e-05
            2.19;	0.0227333;	0.000271378;	0.171002;	0.000121863;	1.14821;	0.00137949;	-0.428062;	8.35338e-05
            2.20;	0.0225416;	0.000271326;	0.169757;	0.00012163;	1.1382;	0.00136483;	-0.426366;	8.28448e-05
            2.21;	0.0223524;	0.000269771;	0.168516;	0.000121952;	1.12809;	0.00134394;	-0.424659;	8.29978e-05
            2.22;	0.0221479;	0.000268355;	0.167318;	0.000121821;	1.11833;	0.00133282;	-0.422955;	8.26745e-05
            2.23;	0.0219482;	0.000267091;	0.166071;	0.000121241;	1.10876;	0.00131091;	-0.421297;	8.26979e-05
            2.24;	0.0217234;	0.000266689;	0.164851;	0.000119745;	1.09929;	0.00128641;	-0.419651;	8.26316e-05
            2.25;	0.0215518;	0.000265274;	0.163624;	0.000117914;	1.08986;	0.00126186;	-0.418007;	8.18637e-05
            2.26;	0.0213738;	0.000263022;	0.162449;	0.000115678;	1.08053;	0.00124083;	-0.416369;	8.16151e-05
            2.27;	0.0211701;	0.000261717;	0.161274;	0.000112953;	1.07151;	0.0012182;	-0.414746;	8.18804e-05
            2.28;	0.0210409;	0.000261437;	0.160133;	0.000112656;	1.06242;	0.0012099;	-0.413133;	8.14553e-05
            2.29;	0.0208452;	0.000260932;	0.158993;	0.000113192;	1.0536;	0.00119474;	-0.411563;	8.15807e-05
            2.30;	0.020641;	0.00025821;	0.157856;	0.000112718;	1.0448;	0.00118859;	-0.409984;	8.18191e-05
            2.31;	0.0204448;	0.000256814;	0.156727;	0.000110489;	1.03624;	0.00117135;	-0.408399;	8.19329e-05
            2.32;	0.0202893;	0.000258385;	0.15563;	0.000110075;	1.02792;	0.00115662;	-0.406835;	8.14622e-05
            2.33;	0.0201763;	0.000256388;	0.154529;	0.000109109;	1.01971;	0.00114935;	-0.405278;	8.13617e-05
            2.34;	0.0200242;	0.000256309;	0.153438;	0.000108295;	1.01162;	0.00112941;	-0.403727;	8.1144e-05
            2.35;	0.0198452;	0.000255582;	0.152321;	0.000105981;	1.00386;	0.00111545;	-0.402189;	8.03208e-05
            2.36;	0.019698;	0.000254049;	0.151261;	0.000104389;	0.995876;	0.00108763;	-0.400673;	7.98364e-05
            2.37;	0.0195542;	0.000252488;	0.150157;	0.000103025;	0.98807;	0.00106821;	-0.39917;	7.94293e-05
            2.38;	0.0193679;	0.000250822;	0.149097;	0.000102513;	0.98037;	0.0010714;	-0.397675;	7.95603e-05
            2.39;	0.0192276;	0.000248943;	0.148047;	0.000102063;	0.972736;	0.00107259;	-0.396193;	7.92042e-05
            2.40;	0.0190859;	0.000249296;	0.14702;	0.000102635;	0.965199;	0.00105783;	-0.394721;	7.90952e-05
            2.41;	0.0189787;	0.000249422;	0.146004;	0.000102063;	0.957877;	0.0010462;	-0.39326;	7.8985e-05
            2.42;	0.018846;	0.000250176;	0.144985;	0.000100673;	0.950846;	0.00104054;	-0.391824;	7.89379e-05
            2.43;	0.0187148;	0.000248322;	0.143978;	9.88861e-05;	0.943703;	0.00103152;	-0.39037;	7.86093e-05
            2.44;	0.0185817;	0.000246209;	0.142988;	9.8046e-05;	0.936743;	0.00102767;	-0.388927;	7.85372e-05
            2.45;	0.0184541;	0.00024612;	0.142016;	9.76535e-05;	0.929873;	0.00102551;	-0.387505;	7.85471e-05
            2.46;	0.0182993;	0.000243224;	0.141033;	9.7674e-05;	0.922988;	0.00102489;	-0.386089;	7.85831e-05
            2.47;	0.0181706;	0.000242186;	0.140073;	9.69146e-05;	0.916074;	0.00101761;	-0.384696;	7.85708e-05
            2.48;	0.0180436;	0.000240874;	0.139092;	9.58835e-05;	0.909289;	0.00100587;	-0.383296;	7.87989e-05
            2.49;	0.0179277;	0.000238078;	0.138149;	9.54887e-05;	0.902657;	0.000998475;	-0.381908;	7.84661e-05
            2.50;	0.0178034;	0.000236089;	0.137204;	9.5241e-05;	0.896195;	0.000988952;	-0.380536;	7.88819e-05
            2.51;	0.0176802;	0.000236092;	0.13626;	9.4786e-05;	0.889758;	0.000972971;	-0.379161;	7.77054e-05
            2.52;	0.017564;	0.000235117;	0.135333;	9.47104e-05;	0.883162;	0.000961951;	-0.377801;	7.75511e-05
            2.53;	0.0174309;	0.000233224;	0.134416;	9.50216e-05;	0.876792;	0.000954663;	-0.376443;	7.78816e-05
            2.54;	0.0173304;	0.000231015;	0.13351;	9.46085e-05;	0.870587;	0.000949321;	-0.375111;	7.75494e-05
            2.55;	0.0172261;	0.000228923;	0.132641;	9.41585e-05;	0.86431;	0.00093946;	-0.373773;	7.76341e-05
            2.56;	0.0171246;	0.000228974;	0.131764;	9.35453e-05;	0.858322;	0.00093035;	-0.372443;	7.72897e-05
            2.57;	0.0170146;	0.00022893;	0.130879;	9.24229e-05;	0.852288;	0.000924449;	-0.37114;	7.70671e-05
            2.58;	0.0168962;	0.000228117;	0.129996;	9.19577e-05;	0.846336;	0.000910616;	-0.369822;	7.69723e-05
            2.59;	0.0167654;	0.000227871;	0.12913;	9.17084e-05;	0.840388;	0.000896405;	-0.368526;	7.74803e-05
            2.60;	0.0166528;	0.000227725;	0.128277;	9.10947e-05;	0.834702;	0.00089458;	-0.367237;	7.75463e-05
            2.61;	0.016567;	0.000227516;	0.127434;	8.92664e-05;	0.829125;	0.000883393;	-0.36595;	7.71633e-05
