Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
            0.57;	0.743582;	0.00380749;	0.435848;	0.001961;	66.391;	0.178123;	-0.978411;	0.00027775
            0.58;	0.723519;	0.0035715;	0.452879;	0.00186634;	63.2254;	0.177271;	-0.974171;	0.000281273
            0.59;	0.696915;	0.00364725;	0.469547;	0.00171337;	60.0386;	0.178902;	-0.969504;	0.000290064
            0.60;	0.671657;	0.00361582;	0.48429;	0.00154648;	56.7856;	0.174982;	-0.964531;	0.000290575
            0.61;	0.648402;	0.0035327;	0.495889;	0.00147553;	53.7255;	0.171722;	-0.959638;	0.000291793
            0.62;	0.621499;	0.00350385;	0.50586;	0.00134703;	50.8466;	0.156813;	-0.95457;	0.000272878
            0.63;	0.591664;	0.00341514;	0.513342;	0.00125517;	47.8059;	0.15029;	-0.949028;	0.000267684
            0.64;	0.569429;	0.00324049;	0.519467;	0.00116705;	45.2192;	0.140751;	-0.943996;	0.00025895
            0.65;	0.548557;	0.00305331;	0.521544;	0.00110091;	42.6583;	0.13526;	-0.938865;	0.000250527
            0.66;	0.528185;	0.00293966;	0.525105;	0.00113853;	40.3172;	0.129583;	-0.933685;	0.000251123
            0.67;	0.503742;	0.00284402;	0.526163;	0.00108587;	37.8901;	0.117335;	-0.928153;	0.000234612
            0.68;	0.48233;	0.00288527;	0.525664;	0.00114179;	35.8603;	0.115832;	-0.923093;	0.000238505
            0.69;	0.459388;	0.00282008;	0.525188;	0.00113726;	33.6729;	0.113135;	-0.917484;	0.000238263
            0.70;	0.445063;	0.00263576;	0.524844;	0.00116152;	31.9464;	0.106967;	-0.912474;	0.000229466
            0.71;	0.423568;	0.00262222;	0.522426;	0.00118621;	30.1219;	0.100193;	-0.907105;	0.000227993
            0.72;	0.407178;	0.00257807;	0.520986;	0.00113456;	28.4895;	0.094929;	-0.902004;	0.000225094
            0.73;	0.391381;	0.00234533;	0.518361;	0.00106057;	26.9306;	0.0874903;	-0.896874;	0.000211157
            0.74;	0.372266;	0.00227673;	0.515414;	0.00106766;	25.4174;	0.08541;	-0.891574;	0.00020782
            0.75;	0.357875;	0.00216399;	0.512722;	0.00109553;	24.1036;	0.0804953;	-0.886528;	0.00020418
            0.76;	0.343562;	0.00214353;	0.511108;	0.00108078;	22.9122;	0.0744738;	-0.881533;	0.000200198
            0.77;	0.329616;	0.00210783;	0.506871;	0.00103107;	21.77;	0.0702752;	-0.876536;	0.000196689
            0.78;	0.314001;	0.00200806;	0.502666;	0.00104818;	20.6006;	0.067277;	-0.87128;	0.00019004
            0.79;	0.302513;	0.00192853;	0.499752;	0.00102701;	19.5427;	0.0640399;	-0.866301;	0.000183303
            0.80;	0.28919;	0.00188647;	0.496809;	0.000970896;	18.5685;	0.059373;	-0.861138;	0.000180684
            0.81;	0.275584;	0.00185963;	0.4928;	0.000930628;	17.633;	0.0570069;	-0.856058;	0.000177687
            0.82;	0.265678;	0.00173157;	0.48887;	0.000905833;	16.754;	0.0549635;	-0.851086;	0.000175578
            0.83;	0.257395;	0.00162134;	0.487068;	0.000856967;	16.0081;	0.0483539;	-0.846239;	0.000165778
            0.84;	0.248012;	0.00158499;	0.484403;	0.000804685;	15.2936;	0.0454491;	-0.841403;	0.000163774
            0.85;	0.238654;	0.00149626;	0.482024;	0.000771639;	14.6689;	0.0418837;	-0.836653;	0.000152969
            0.86;	0.228964;	0.00142588;	0.47816;	0.000772512;	13.9718;	0.0414383;	-0.831646;	0.0001452
            0.87;	0.221976;	0.001395;	0.476626;	0.000780486;	13.397;	0.0387089;	-0.82694;	0.000143547
            0.88;	0.214418;	0.0013545;	0.473343;	0.00076202;	12.8307;	0.0354143;	-0.822122;	0.000141691
            0.89;	0.207912;	0.00134001;	0.471227;	0.000734104;	12.3236;	0.0339308;	-0.817474;	0.000142517
            0.90;	0.200782;	0.00124689;	0.468778;	0.000696364;	11.8447;	0.0291772;	-0.812752;	0.000131896
            0.91;	0.192104;	0.00126964;	0.465367;	0.00065468;	11.3846;	0.028529;	-0.808098;	0.000130782
            0.92;	0.186592;	0.00121135;	0.461788;	0.000629535;	10.912;	0.0288531;	-0.803408;	0.000135988
            0.93;	0.180567;	0.00113712;	0.459692;	0.000623197;	10.5323;	0.0270519;	-0.79882;	0.000129484
            0.94;	0.175456;	0.00109583;	0.457256;	0.000615913;	10.1737;	0.025172;	-0.794315;	0.000128346
            0.95;	0.16961;	0.00108943;	0.454258;	0.000586654;	9.78876;	0.0242782;	-0.789744;	0.000132902
            0.96;	0.165642;	0.00112538;	0.45104;	0.000582014;	9.45596;	0.0228561;	-0.785363;	0.000128321
            0.97;	0.160265;	0.00105347;	0.448682;	0.000543651;	9.11694;	0.0219879;	-0.780764;	0.000124792
            0.98;	0.156392;	0.00106427;	0.445839;	0.000545388;	8.83218;	0.0209758;	-0.776413;	0.000124542
