#   N_BLOCK:  ACCEPTANCE:
           1    0.999157
           2    0.998722
           3    0.998398
           4    0.998144
           5    0.997911
           6    0.997773
           7    0.997646
           8    0.997527
           9    0.997437
          10    0.997331
          11    0.997244
          12    0.997166
          13    0.997085
          14    0.997007
          15    0.996945
          16    0.996887
          17     0.99682
          18     0.99678
          19    0.996737
          20    0.996671
