#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.999908    0.999908           0
           2           1    0.999954 3.25269e-05
           3           1    0.999969 2.50392e-05
           4           1    0.999977 1.99186e-05
           5           1    0.999982 1.64575e-05
           6           1    0.999985 1.39974e-05
           7           1    0.999987 1.21679e-05
           8           1    0.999988 1.07573e-05
           9           1     0.99999  9.6376e-06
          10           1    0.999991 8.72789e-06
          11           1    0.999992 7.97442e-06
          12           1    0.999992 7.34028e-06
          13           1    0.999993 6.79929e-06
          14           1    0.999993 6.33239e-06
          15           1    0.999994 5.92536e-06
          16           1    0.999994 5.56741e-06
          17           1    0.999995 5.25018e-06
          18           1    0.999995 4.96711e-06
          19           1    0.999995 4.71296e-06
          20           1    0.999995 4.48353e-06
