#   N_BLOCK:  ACCEPTANCE:
           1    0.676037
           2    0.676445
           3    0.676628
           4    0.676374
           5    0.676301
           6    0.676301
           7    0.676169
           8    0.676119
           9    0.676146
          10    0.676107
          11    0.676118
          12    0.676204
          13    0.676273
          14    0.676284
          15    0.676248
          16    0.676221
          17    0.676257
          18    0.676253
          19    0.676235
          20    0.676214
