LJ MOLECULAR DYNAMICS (NVE) SIMULATION
TEMPERATURE= 1.1
NPART= 108
SIDE=      4.61329     4.61329     4.61329
R_CUT= 2.2
DELTA= 0.0005
NBLOCKS= 10
NSTEPS= 5000
Reading input completed!
System initialized!
Reading properties completed!
Block completed: 1
