#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     49.9848     49.9848           0
           2          50     49.9924  0.00537118
           3          50     49.9949  0.00413474
           4          50     49.9962  0.00328916
           5          50      49.997  0.00271763
           6          50     49.9975  0.00231139
           7          50     49.9978  0.00200929
           8          50     49.9981  0.00177635
           9          50     49.9983  0.00159146
          10          50     49.9985  0.00144124
          11          50     49.9986  0.00131682
          12          50     49.9987   0.0012121
          13          50     49.9988  0.00112277
          14          50     49.9989  0.00104567
          15          50      49.999 0.000978458
          16          50     49.9991 0.000919349
          17          50     49.9991 0.000866965
          18          50     49.9992 0.000820221
          19          50     49.9992 0.000778253
          20          50     49.9992 0.000740367
