#   N_BLOCK:  ACCEPTANCE:
           1    0.999157
           2    0.998708
           3    0.998349
           4    0.998109
           5    0.997859
           6    0.997715
           7    0.997552
           8    0.997449
           9    0.997357
          10    0.997244
          11    0.997161
          12    0.997081
          13    0.997015
          14    0.996943
          15    0.996881
          16    0.996825
          17    0.996764
          18    0.996723
          19    0.996679
          20    0.996609
