#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     49.9886     49.9886           0
           2          50     49.9943  0.00404465
           3          50     49.9962  0.00311357
           4          50     49.9971  0.00247683
           5          50     49.9977  0.00204645
           6          50     49.9981  0.00174054
           7          50     49.9984  0.00151305
           8          50     49.9986  0.00133764
           9          50     49.9987  0.00119842
          10          50     49.9989  0.00108529
          11          50      49.999 0.000991601
          12          50      49.999 0.000912747
          13          50     49.9991 0.000845477
          14          50     49.9992 0.000787419
          15          50     49.9992 0.000736806
          16          50     49.9993 0.000692296
          17          50     49.9993 0.000652849
          18          50     49.9994 0.000617649
          19          50     49.9994 0.000586046
          20          50     49.9994 0.000557517
