#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.999852    0.999852           0
           2           1    0.999926 5.23259e-05
           3           1    0.999951 4.02805e-05
           4           1    0.999963 3.20429e-05
           5           1     0.99997  2.6475e-05
           6           1    0.999975 2.25175e-05
           7           1    0.999979 1.95745e-05
           8           1    0.999982 1.73052e-05
           9           1    0.999984  1.5504e-05
          10           1    0.999985 1.40405e-05
          11           1    0.999987 1.28284e-05
          12           1    0.999988 1.18083e-05
          13           1    0.999989  1.0938e-05
          14           1    0.999989 1.01869e-05
          15           1     0.99999  9.5321e-06
          16           1    0.999991 8.95627e-06
          17           1    0.999991 8.44595e-06
          18           1    0.999992 7.99056e-06
          19           1    0.999992 7.58172e-06
          20           1    0.999993 7.21263e-06
