#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.73503     1.77667  0.00472585
         169     1.70654     1.77626  0.00471608
         170     1.70431     1.77583  0.00470729
         171     1.72786     1.77555  0.00468811
         172     1.76943     1.77552  0.00466099
         173     1.80074     1.77566  0.00463633
         174     1.79037     1.77575  0.00461045
         175      1.8178     1.77599  0.00459037
         176     1.82429     1.77626  0.00457248
         177     1.80935     1.77645  0.00455047
         178     1.77987     1.77647  0.00452494
         179     1.76068     1.77638  0.00450052
         180     1.78538     1.77643   0.0044758
         181     1.79309     1.77652  0.00445202
         182     1.81056     1.77671  0.00443148
         183     1.81012     1.77689  0.00441103
         184     1.77609     1.77689  0.00438705
         185     1.74689     1.77672  0.00436634
         186     1.74866     1.77657  0.00434547
         187     1.74448      1.7764  0.00432562
         188      1.7321     1.77617  0.00430902
         189     1.74523       1.776  0.00428933
         190     1.76176     1.77593  0.00426741
         191      1.7771     1.77593  0.00424507
         192     1.76542     1.77588  0.00422331
         193     1.75625     1.77578  0.00420266
         194      1.7807      1.7758  0.00418107
         195     1.80206     1.77594   0.0041618
         196     1.78705     1.77599  0.00414095
         197     1.77257     1.77598  0.00411997
         198     1.82002      1.7762  0.00410516
         199      1.8497     1.77657  0.00410111
         200      1.8113     1.77674  0.00408428
         201     1.80642     1.77689  0.00406663
         202     1.85429     1.77727  0.00406451
         203     1.87071     1.77773  0.00407047
         204     1.86266     1.77815  0.00407175
         205     1.88885     1.77869  0.00408754
         206     1.92817     1.77941  0.00413161
         207      1.8969     1.77998  0.00415045
         208     1.86556     1.78039  0.00415083
         209     1.86656     1.78081   0.0041514
         210     1.86283      1.7812  0.00414996
         211     1.85491     1.78155  0.00414497
         212     1.86453     1.78194  0.00414386
         213     1.85627     1.78229  0.00413908
         214     1.82485     1.78249  0.00412451
         215     1.80468     1.78259  0.00410662
         216     1.82663     1.78279  0.00409266
         217     1.80221     1.78288  0.00407478
         218      1.8135     1.78302  0.00405851
         219     1.82937     1.78323  0.00404549
         220     1.81859     1.78339  0.00403029
         221      1.8329     1.78362  0.00401828
         222     1.83999     1.78387  0.00400819
         223     1.86197     1.78422  0.00400549
         224     1.86958      1.7846  0.00400569
         225     1.84599     1.78488  0.00399717
         226     1.82876     1.78507   0.0039842
         227     1.81975     1.78522  0.00396957
         228     1.84309     1.78548  0.00396027
         229     1.84134     1.78572  0.00395048
         230     1.79817     1.78578  0.00393367
         231      1.7869     1.78578  0.00391665
         232     1.82464     1.78595  0.00390334
         233     1.82609     1.78612  0.00389039
         234     1.84366     1.78637  0.00388153
         235     1.83319     1.78657  0.00387012
         236     1.82936     1.78675  0.00385797
         237     1.82047     1.78689  0.00384432
         238     1.84161     1.78712  0.00383503
         239     1.86982     1.78747  0.00383457
         240     1.87103     1.78781  0.00383436
         241     1.84738     1.78806  0.00382641
         242     1.82292      1.7882  0.00381331
         243     1.80724     1.78828  0.00379842
         244     1.79572     1.78831  0.00378298
         245     1.78369     1.78829  0.00376758
         246     1.76487      1.7882  0.00375347
         247     1.76095     1.78809   0.0037399
         248     1.77394     1.78803  0.00372525
         249     1.76565     1.78794  0.00371137
         250     1.77151     1.78788  0.00369711
         251     1.75744     1.78775  0.00368437
         252     1.73441     1.78754  0.00367582
         253      1.7357     1.78734    0.003667
         254     1.78797     1.78734  0.00365256
         255     1.85666     1.78761  0.00364834
         256     1.85722     1.78788  0.00364421
         257     1.84659     1.78811  0.00363718
         258     1.82672     1.78826  0.00362616
         259     1.80754     1.78834  0.00361292
         260     1.79329     1.78836  0.00359908
         261     1.77657     1.78831  0.00358557
         262      1.7431     1.78814  0.00357604
         263     1.74373     1.78797  0.00356642
         264     1.77892     1.78794  0.00355308
         265     1.76485     1.78785  0.00354074
         266     1.77009     1.78778  0.00352806
         267     1.82134     1.78791  0.00351708
         268      1.8293     1.78806  0.00350735
         269     1.80721     1.78813  0.00349503
         270     1.81958     1.78825  0.00348403
         271     1.85227     1.78849  0.00347917
         272     1.82539     1.78862  0.00346902
         273     1.79111     1.78863  0.00345633
         274      1.7867     1.78862  0.00344372
         275     1.81528     1.78872  0.00343256
         276     1.85383     1.78896  0.00342822
         277     1.87139     1.78925  0.00342874
         278     1.84737     1.78946  0.00342278
         279     1.82126     1.78958  0.00341241
         280     1.81312     1.78966  0.00340125
         281     1.83726     1.78983  0.00339337
         282      1.8243     1.78995  0.00338353
         283     1.80983     1.79002   0.0033723
         284     1.81063      1.7901  0.00336121
         285     1.84064     1.79027  0.00335409
         286     1.83487     1.79043  0.00334599
         287     1.83798     1.79059  0.00333843
         288     1.83126     1.79074  0.00332982
         289     1.79222     1.79074   0.0033183
         290     1.77767      1.7907  0.00330717
         291     1.78418     1.79067  0.00329588
         292     1.80277     1.79071  0.00328485
         293     1.82325     1.79083  0.00327552
         294     1.87752     1.79112  0.00327762
         295     1.89933     1.79149  0.00328697
         296     1.86524     1.79174   0.0032853
         297     1.83914      1.7919  0.00327811
         298     1.82512     1.79201    0.003269
         299     1.80514     1.79205  0.00325837
         300     1.85443     1.79226  0.00325413
         301     1.87888     1.79255  0.00325602
         302     1.91255     1.79294   0.0032694
         303     1.92632     1.79338  0.00328811
         304     1.90676     1.79376  0.00329837
         305     1.85486     1.79396  0.00329364
         306     1.86588     1.79419  0.00329125
         307     1.90784     1.79456  0.00330128
         308     1.92557     1.79499  0.00331785
         309       1.889     1.79529  0.00332103
         310     1.86284     1.79551  0.00331746
         311     1.85528      1.7957  0.00331235
         312      1.8439     1.79586  0.00330534
         313     1.84709     1.79602  0.00329883
         314     1.85694     1.79621  0.00329402
         315     1.87435     1.79646  0.00329289
         316     1.88679     1.79675  0.00329485
         317     1.91423     1.79712  0.00330524
         318     1.89419     1.79742  0.00330891
         319     1.89306     1.79772  0.00331209
         320     1.88924     1.79801  0.00331407
         321     1.91901     1.79839  0.00332511
         322     1.92881     1.79879  0.00333936
         323      1.8987      1.7991  0.00334332
         324      1.8977     1.79941  0.00334682
         325     1.90097     1.79972  0.00335108
         326     1.88989         1.8   0.0033522
         327     1.89645     1.80029   0.0033549
         328      1.9007      1.8006  0.00335861
         329     1.93505       1.801  0.00337317
         330     1.93511     1.80141  0.00338734
         331     1.94046     1.80183  0.00340306
         332     1.86733     1.80203  0.00339852
         333     1.85231     1.80218  0.00339167
         334      1.8769      1.8024  0.00338888
         335     1.88693     1.80266  0.00338815
         336     1.87968     1.80288  0.00338581
         337     1.85208     1.80303  0.00337891
         338     1.85101     1.80317  0.00337189
         339      1.8425     1.80329  0.00336394
         340     1.84035      1.8034  0.00335581
         341     1.82807     1.80347  0.00334675
         342     1.80638     1.80348  0.00333698
         343     1.84526      1.8036  0.00332947
         344     1.87851     1.80382  0.00332691
         345     1.86946     1.80401   0.0033227
         346     1.84418     1.80412  0.00331512
         347     1.84162     1.80423  0.00330733
         348     1.81997     1.80428  0.00329814
         349     1.80191     1.80427  0.00328869
         350     1.79628     1.80425  0.00327938
         351     1.82431     1.80431  0.00327053
         352     1.83313     1.80439  0.00326226
         353      1.8164     1.80442   0.0032532
         354     1.79935     1.80441  0.00324404
         355     1.78756     1.80436  0.00323525
         356     1.78835     1.80431  0.00322648
         357     1.81398     1.80434  0.00321755
         358     1.80174     1.80433  0.00320857
         359     1.82109     1.80438  0.00319997
         360     1.79446     1.80435   0.0031912
         361     1.77425     1.80427  0.00318345
         362     1.75031     1.80412  0.00317815
         363     1.80584     1.80413   0.0031694
         364     1.82567     1.80419  0.00316124
         365     1.78449     1.80413  0.00315304
         366     1.76333     1.80402   0.0031464
         367     1.75256     1.80388  0.00314095
         368     1.73284     1.80369  0.00313834
         369     1.72243     1.80347  0.00313755
         370     1.78711     1.80342  0.00312938
         371     1.79613      1.8034  0.00312101
         372      1.7651      1.8033  0.00311432
         373     1.77989     1.80324   0.0031066
         374     1.81925     1.80328  0.00309859
         375      1.8211     1.80333  0.00309069
         376     1.83022      1.8034   0.0030833
         377     1.84437     1.80351  0.00307703
         378     1.79541     1.80349  0.00306897
         379      1.7638     1.80338  0.00306266
         380     1.80061     1.80337   0.0030546
         381     1.82347     1.80343  0.00304704
         382     1.82886     1.80349  0.00303979
         383     1.80898     1.80351  0.00303189
         384     1.77166     1.80342  0.00302513
         385     1.80566     1.80343  0.00301728
         386     1.81907     1.80347  0.00300973
         387     1.83042     1.80354  0.00300276
         388     1.87264     1.80372   0.0030003
         389     1.84972     1.80384  0.00299491
         390     1.80265     1.80383  0.00298724
         391     1.76788     1.80374  0.00298101
         392     1.76326     1.80364   0.0029752
         393     1.77981     1.80358  0.00296824
         394     1.80471     1.80358  0.00296071
         395     1.82823     1.80364  0.00295387
         396     1.80543     1.80365  0.00294642
         397     1.80466     1.80365    0.002939
         398     1.79732     1.80363  0.00293165
         399     1.79262     1.80361  0.00292444
         400      1.7947     1.80358  0.00291721
         401     1.76146     1.80348  0.00291183
         402     1.74971     1.80335  0.00290765
         403     1.76774     1.80326  0.00290178
         404      1.7996     1.80325  0.00289461
         405     1.80554     1.80325  0.00288747
         406     1.79285     1.80323  0.00288047
         407     1.81678     1.80326  0.00287359
         408     1.81728      1.8033  0.00286675
         409     1.81318     1.80332  0.00285984
         410     1.77654     1.80325  0.00285361
         411     1.77263     1.80318  0.00284764
         412      1.8186     1.80322  0.00284098
         413     1.84043     1.80331  0.00283553
         414     1.83846     1.80339  0.00282995
         415     1.82873     1.80345  0.00282379
         416     1.84238     1.80355  0.00281855
         417      1.8496     1.80366  0.00281395
         418     1.85615     1.80378  0.00281002
         419     1.84064     1.80387  0.00280469
         420      1.8389     1.80395  0.00279925
         421     1.81785     1.80399   0.0027928
         422      1.7765     1.80392  0.00278694
         423     1.76815     1.80384  0.00278163
         424     1.77306     1.80377  0.00277602
         425     1.80669     1.80377   0.0027695
         426     1.81878     1.80381  0.00276322
         427     1.81645     1.80384  0.00275691
         428     1.80724     1.80385  0.00275048
         429     1.80268     1.80384  0.00274407
         430     1.81729     1.80387  0.00273786
         431      1.8745     1.80404  0.00273641
         432     1.90845     1.80428  0.00274073
         433     1.90023      1.8045  0.00274334
         434     1.90349     1.80473  0.00274649
         435     1.88288     1.80491  0.00274604
         436     1.86675     1.80505   0.0027434
         437     1.86115     1.80518  0.00274013
         438     1.83595     1.80525  0.00273477
         439     1.79672     1.80523  0.00272861
         440     1.79751     1.80521  0.00272247
         441     1.82379     1.80525  0.00271662
         442      1.8271      1.8053  0.00271092
         443     1.82987     1.80536  0.00270537
         444     1.85257     1.80547  0.00270137
         445     1.83853     1.80554  0.00269632
         446     1.78934      1.8055  0.00269052
         447     1.79551     1.80548  0.00268459
         448     1.81755     1.80551  0.00267873
         449     1.83568     1.80558  0.00267361
         450     1.84506     1.80566  0.00266911
         451     1.87197     1.80581  0.00266724
         452     1.87716     1.80597    0.002666
         453     1.87042     1.80611  0.00266391
         454     1.85235     1.80621  0.00265999
         455     1.84212     1.80629  0.00265532
         456     1.86347     1.80642  0.00265245
         457     1.87166     1.80656  0.00265049
         458     1.82726      1.8066  0.00264508
         459     1.80784     1.80661  0.00263932
         460     1.81727     1.80663  0.00263369
         461     1.78795     1.80659  0.00262829
         462     1.76887     1.80651  0.00262386
         463      1.7648     1.80642  0.00261974
         464      1.7734     1.80635  0.00261506
         465     1.79086     1.80631  0.00260965
         466     1.77893     1.80625  0.00260471
         467     1.78548     1.80621  0.00259952
         468     1.80764     1.80621  0.00259396
         469     1.79461     1.80619  0.00258855
         470     1.82385     1.80623  0.00258332
         471     1.80582     1.80623  0.00257783
         472     1.75695     1.80612  0.00257448
         473     1.73511     1.80597  0.00257341
         474     1.72927     1.80581  0.00257307
         475     1.74299     1.80568  0.00257105
         476     1.77502     1.80561  0.00256645
         477      1.7981      1.8056  0.00256112
         478     1.82266     1.80563  0.00255601
         479       1.855     1.80574  0.00255275
         480     1.86581     1.80586   0.0025505
         481     1.86645     1.80599   0.0025483
         482      1.8593      1.8061  0.00254542
         483     1.84505     1.80618  0.00254142
         484     1.84658     1.80626  0.00253754
         485     1.83799     1.80633  0.00253316
         486     1.80116     1.80632  0.00252797
         487      1.7971      1.8063  0.00252285
