#   N_BLOCK:  ACCEPTANCE:
           1     9.8e-05
           2     4.9e-05
           3 3.26667e-05
           4    2.45e-05
           5    1.96e-05
           6 1.63333e-05
           7     1.4e-05
           8   1.225e-05
           9 1.08889e-05
          10     9.8e-06
          11 8.90909e-06
          12 8.16667e-06
          13 7.53846e-06
          14       7e-06
          15 6.53333e-06
          16   6.125e-06
          17 5.76471e-06
          18 5.44444e-06
          19 5.15789e-06
          20     4.9e-06
