#   N_BLOCK:  ACCEPTANCE:
           1     3.2e-05
           2     1.6e-05
           3 1.06667e-05
           4       8e-06
           5     6.4e-06
           6 5.33333e-06
           7 4.57143e-06
           8       4e-06
           9 3.55556e-06
          10     3.2e-06
          11 2.90909e-06
          12 2.66667e-06
          13 2.46154e-06
          14 2.28571e-06
          15 2.13333e-06
          16       2e-06
          17 1.88235e-06
          18 1.77778e-06
          19 1.68421e-06
          20     1.6e-06
