#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.22005     1.21525  0.00239196
         169     1.25279     1.21547   0.0023881
         170     1.24755     1.21566   0.0023815
         171       1.221     1.21569  0.00236778
         172     1.20633     1.21564  0.00235464
         173      1.1821     1.21544  0.00234899
         174     1.18289     1.21525  0.00234293
         175      1.1901     1.21511  0.00233395
         176     1.21094     1.21509   0.0023208
         177     1.21426     1.21508   0.0023077
         178     1.21877      1.2151  0.00229483
         179     1.23264      1.2152   0.0022841
         180     1.21646     1.21521  0.00227142
         181     1.21135     1.21519  0.00225897
         182     1.19886      1.2151  0.00224834
         183      1.1904     1.21496   0.0022401
         184     1.17378     1.21474  0.00223908
         185     1.16599     1.21447  0.00224243
         186     1.18166      1.2143   0.0022373
         187     1.17546     1.21409  0.00223495
         188     1.16157     1.21381  0.00224046
         189     1.15246     1.21349  0.00225199
         190     1.16204     1.21322  0.00225636
         191     1.17329     1.21301  0.00225421
         192      1.1674     1.21277  0.00225495
         193     1.14385     1.21241  0.00227137
         194      1.1449     1.21206  0.00228616
         195     1.15901     1.21179  0.00229057
         196     1.14848     1.21147  0.00230155
         197     1.14867     1.21115  0.00231184
         198     1.15109     1.21085  0.00231997
         199     1.16909     1.21064  0.00231778
         200     1.19608     1.21056  0.00230733
         201      1.1923     1.21047  0.00229764
         202     1.18196     1.21033   0.0022906
         203     1.18849     1.21022  0.00228184
         204     1.17178     1.21004  0.00227843
         205     1.16872     1.20983  0.00227621
         206     1.18079     1.20969  0.00226952
         207     1.19918     1.20964  0.00225913
         208     1.22275     1.20971  0.00224914
         209     1.22561     1.20978  0.00223967
         210     1.19724     1.20972   0.0022298
         211     1.20197     1.20969  0.00221954
         212     1.21537     1.20971  0.00220923
         213     1.21891     1.20976  0.00219928
         214     1.21884      1.2098  0.00218941
         215     1.21487     1.20982  0.00217936
         216     1.21322     1.20984  0.00216932
         217     1.20422     1.20981  0.00215948
         218     1.21241     1.20982  0.00214961
         219     1.23022     1.20992  0.00214181
         220     1.23406     1.21003  0.00213488
         221     1.20002     1.20998   0.0021257
         222     1.18322     1.20986  0.00211954
         223     1.18778     1.20976  0.00211235
         224     1.17894     1.20962   0.0021074
         225       1.196     1.20956   0.0020989
         226     1.19737     1.20951   0.0020903
         227     1.19304     1.20944  0.00208235
         228     1.19785     1.20939  0.00207384
         229     1.18017     1.20926  0.00206871
         230     1.17187      1.2091  0.00206609
         231     1.18841     1.20901  0.00205908
         232     1.20314     1.20898  0.00205036
         233     1.19353     1.20891  0.00204264
         234     1.18653     1.20882  0.00203615
         235     1.17773     1.20869  0.00203177
         236     1.17066     1.20853  0.00202954
         237     1.18606     1.20843  0.00202319
         238     1.18384     1.20833  0.00201733
         239     1.19186     1.20826  0.00201006
         240     1.18677     1.20817  0.00200368
         241     1.20225     1.20814  0.00199552
         242     1.22476     1.20821  0.00198845
         243     1.22034     1.20826   0.0019809
         244     1.23332     1.20837  0.00197544
         245     1.26991     1.20862  0.00198328
         246     1.26203     1.20883  0.00198707
         247     1.21686     1.20887  0.00197929
         248     1.19447     1.20881  0.00197216
         249      1.1977     1.20876  0.00196475
         250     1.19259      1.2087  0.00195795
         251     1.20183     1.20867  0.00195034
         252     1.20777     1.20867  0.00194261
         253     1.21662      1.2087  0.00193518
         254     1.21101     1.20871  0.00192759
         255     1.23994     1.20883  0.00192391
         256     1.26414     1.20905  0.00192849
         257     1.26717     1.20927   0.0019342
         258     1.26815      1.2095  0.00194012
         259      1.2432     1.20963  0.00193699
         260     1.22729      1.2097  0.00193073
         261     1.23494      1.2098  0.00192575
         262     1.21585     1.20982  0.00191854
         263     1.21122     1.20982  0.00191125
         264     1.19313     1.20976  0.00190506
         265      1.1883     1.20968  0.00189959
         266     1.17911     1.20957  0.00189592
         267     1.16605      1.2094  0.00189581
         268     1.16497     1.20924  0.00189598
         269     1.19767     1.20919  0.00188942
         270     1.18942     1.20912  0.00188384
         271     1.17977     1.20901     0.00188
         272     1.19594     1.20896   0.0018737
         273     1.22457     1.20902  0.00186771
         274     1.20764     1.20902   0.0018609
         275     1.19821     1.20898  0.00185454
         276     1.19779     1.20894  0.00184827
         277      1.1834     1.20884  0.00184389
         278     1.18948     1.20877  0.00183857
         279     1.18459     1.20869  0.00183403
         280     1.20528     1.20868  0.00182752
         281     1.23358     1.20876  0.00182316
         282     1.23323     1.20885  0.00181876
         283     1.21572     1.20888  0.00181249
         284     1.20151     1.20885   0.0018063
         285     1.20827     1.20885  0.00179996
         286     1.21178     1.20886   0.0017937
         287     1.21844     1.20889  0.00178776
         288     1.20471     1.20888  0.00178161
         289     1.19498     1.20883  0.00177609
         290     1.20589     1.20882     0.00177
         291     1.19981     1.20879  0.00176419
         292     1.21064     1.20879  0.00175816
         293     1.21896     1.20883   0.0017525
         294     1.21692     1.20886  0.00174675
         295     1.20407     1.20884  0.00174091
         296     1.18748     1.20877  0.00173652
         297     1.17573     1.20866  0.00173423
         298     1.16495     1.20851  0.00173461
         299     1.16993     1.20838   0.0017336
         300     1.18244     1.20829  0.00172997
         301     1.21817     1.20833  0.00172454
         302     1.23023      1.2084  0.00172035
         303     1.21028     1.20841  0.00171468
         304     1.22849     1.20847  0.00171032
         305     1.27026     1.20867  0.00171666
         306     1.26114     1.20885  0.00171959
         307     1.24222     1.20895  0.00171743
         308     1.21525     1.20898  0.00171197
         309     1.19848     1.20894  0.00170677
         310     1.18602     1.20887  0.00170286
         311     1.19676     1.20883  0.00169783
         312     1.20321     1.20881  0.00169249
         313     1.18968     1.20875  0.00168818
         314      1.1616      1.2086  0.00168947
         315     1.15243     1.20842  0.00169349
         316     1.17252     1.20831  0.00169194
         317     1.18545     1.20823  0.00168814
         318     1.20909     1.20824  0.00168283
         319     1.22898      1.2083  0.00167881
         320     1.22085     1.20834  0.00167402
         321     1.23506     1.20843  0.00167087
         322     1.24772     1.20855  0.00167014
         323     1.23439     1.20863  0.00166688
         324     1.23419     1.20871   0.0016636
         325     1.23415     1.20878  0.00166032
         326     1.22777     1.20884  0.00165625
         327     1.21613     1.20886  0.00165134
         328     1.24087     1.20896  0.00164918
         329     1.24564     1.20907  0.00164793
         330     1.23763     1.20916  0.00164521
         331     1.26892     1.20934  0.00165011
         332     1.24007     1.20943  0.00164774
         333      1.2198     1.20946  0.00164308
         334     1.23707     1.20955  0.00164024
         335     1.24129     1.20964  0.00163808
         336     1.19695      1.2096  0.00163364
         337     1.18977     1.20955  0.00162985
         338     1.21332     1.20956  0.00162507
         339     1.21327     1.20957  0.00162031
         340     1.19603     1.20953  0.00161603
         341     1.20503     1.20951  0.00161135
         342      1.1993     1.20948  0.00160691
         343     1.22226     1.20952  0.00160266
         344     1.25581     1.20966  0.00160364
         345     1.24871     1.20977  0.00160298
         346     1.23807     1.20985  0.00160044
         347     1.25288     1.20998  0.00160062
         348     1.26332     1.21013  0.00160334
         349     1.23043     1.21019   0.0015998
         350     1.21367      1.2102  0.00159526
         351     1.21467     1.21021  0.00159077
         352     1.20768      1.2102  0.00158627
         353     1.21019      1.2102  0.00158177
         354     1.21819     1.21022  0.00157747
         355     1.21273     1.21023  0.00157304
         356     1.21251     1.21024  0.00156863
         357     1.20756     1.21023  0.00156426
         358      1.2161     1.21025  0.00155997
         359     1.24983     1.21036  0.00155952
         360     1.24223     1.21045   0.0015577
         361     1.23862     1.21052  0.00155534
         362     1.22187     1.21056  0.00155136
         363     1.22385     1.21059  0.00154752
         364     1.21126     1.21059  0.00154326
         365     1.21732     1.21061  0.00153915
         366     1.22923     1.21066  0.00153578
         367     1.23595     1.21073  0.00153314
         368     1.23966     1.21081  0.00153099
         369     1.24874     1.21091  0.00153029
         370     1.23864     1.21099  0.00152798
         371     1.22857     1.21104   0.0015246
         372     1.22232     1.21107   0.0015208
         373     1.20052     1.21104  0.00151699
         374     1.19125     1.21099  0.00151386
         375     1.18859     1.21093    0.001511
         376      1.1906     1.21087  0.00150794
         377     1.19658     1.21083  0.00150442
         378     1.18989     1.21078  0.00150146
         379     1.18058      1.2107  0.00149961
         380     1.17012     1.21059  0.00149946
         381     1.18479     1.21052  0.00149706
         382      1.1837     1.21045  0.00149478
         383     1.19727     1.21042  0.00149128
         384     1.22037     1.21045  0.00148762
         385      1.2261     1.21049  0.00148431
         386     1.22934     1.21053  0.00148127
         387     1.22716     1.21058  0.00147806
         388     1.22215     1.21061  0.00147455
         389     1.22232     1.21064  0.00147107
         390     1.22307     1.21067  0.00146764
         391     1.23342     1.21073  0.00146504
         392     1.20736     1.21072  0.00146133
         393     1.19863     1.21069  0.00145794
         394     1.20271     1.21067  0.00145438
         395     1.19591     1.21063  0.00145117
         396      1.2044     1.21061   0.0014476
         397     1.20848     1.21061  0.00144396
         398     1.19465     1.21057  0.00144089
         399     1.18661     1.21051  0.00143853
         400     1.18411     1.21044  0.00143644
         401     1.19308      1.2104  0.00143352
         402     1.19209     1.21035  0.00143067
         403     1.18811      1.2103  0.00142819
         404      1.1891     1.21025  0.00142562
         405     1.20564     1.21024  0.00142214
         406     1.21794     1.21025  0.00141877
         407     1.19552     1.21022  0.00141574
         408     1.19319     1.21018  0.00141289
         409     1.19755     1.21015  0.00140977
         410     1.18403     1.21008  0.00140777
         411     1.18658     1.21002   0.0014055
         412     1.16931     1.20993  0.00140556
         413     1.17337     1.20984  0.00140494
         414     1.16648     1.20973  0.00140545
         415     1.17203     1.20964  0.00140499
         416     1.16055     1.20952  0.00140656
         417     1.14307     1.20936  0.00141219
         418     1.16763     1.20926  0.00141234
         419     1.16695     1.20916  0.00141257
         420     1.16373     1.20906  0.00141334
         421     1.19175     1.20901  0.00141058
         422     1.23031     1.20906  0.00140814
         423     1.23454     1.20912   0.0014061
         424     1.22902     1.20917  0.00140357
         425     1.20843     1.20917  0.00140027
         426     1.19625     1.20914  0.00139731
         427      1.2119     1.20915  0.00139405
         428     1.19901     1.20912    0.001391
         429     1.19323     1.20909  0.00138825
         430      1.1902     1.20904  0.00138571
         431     1.18904       1.209  0.00138327
         432     1.19233     1.20896  0.00138061
         433     1.20591     1.20895  0.00137744
         434     1.22238     1.20898  0.00137461
         435     1.21194     1.20899  0.00137147
         436     1.23281     1.20904  0.00136941
         437     1.26509     1.20917  0.00137227
         438     1.26616      1.2093  0.00137529
         439      1.2503     1.20939  0.00137533
         440     1.23929     1.20946  0.00137388
         441     1.22755      1.2095  0.00137138
         442     1.20682      1.2095  0.00136829
         443     1.20703     1.20949  0.00136521
         444     1.18592     1.20944  0.00136317
         445     1.20152     1.20942  0.00136022
         446     1.21547     1.20943  0.00135724
         447     1.19924     1.20941  0.00135439
         448     1.18946     1.20937   0.0013521
         449     1.20854     1.20936  0.00134909
         450     1.20651     1.20936  0.00134611
         451      1.2265      1.2094  0.00134366
         452     1.24951     1.20948  0.00134361
         453     1.23825     1.20955  0.00134215
         454     1.20501     1.20954  0.00133923
         455     1.18397     1.20948  0.00133746
