#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         153   0.0644558   0.0618536 0.000201159
         154   0.0628303     0.06186 0.000199953
         155   0.0624769   0.0618639 0.000198702
         156   0.0626762   0.0618691 0.000197497
         157    0.061991   0.0618699  0.00019624
         158   0.0620561   0.0618711 0.000195002
         159   0.0626354   0.0618759 0.000193835
         160   0.0619051   0.0618761 0.000192623
         161   0.0615009   0.0618738 0.000191441
         162   0.0601595   0.0618632 0.000190552
         163   0.0590167   0.0618457 0.000190181
         164   0.0589668   0.0618282  0.00018983
         165   0.0592257   0.0618124 0.000189333
         166   0.0591023   0.0617961 0.000188895
         167   0.0595669   0.0617827 0.000188235
         168   0.0611636    0.061779 0.000187151
         169   0.0623908   0.0617827 0.000186079
         170   0.0608723   0.0617773 0.000185061
         171   0.0592494   0.0617625 0.000184568
         172   0.0593855   0.0617487 0.000184012
         173   0.0621365   0.0617509 0.000182962
         174   0.0647931   0.0617684 0.000182744
         175   0.0640603   0.0617815 0.000182168
         176   0.0624402   0.0617853 0.000181172
         177   0.0621144   0.0617871 0.000180158
         178   0.0624366   0.0617908 0.000179183
         179   0.0630496   0.0617978 0.000178319
         180   0.0626524   0.0618025 0.000177392
         181   0.0622308   0.0618049 0.000176428
         182   0.0624704   0.0618086 0.000175496
         183   0.0620039   0.0618096  0.00017454
         184   0.0623898   0.0618128  0.00017362
         185   0.0617701   0.0618126 0.000172682
         186   0.0613766   0.0618102  0.00017177
         187   0.0629639   0.0618164 0.000170962
         188   0.0644887   0.0618306 0.000170642
         189   0.0637575   0.0618408 0.000170044
         190   0.0631383   0.0618476 0.000169286
         191   0.0623429   0.0618502 0.000168419
         192   0.0615527   0.0618487 0.000167549
         193   0.0611231   0.0618449 0.000166723
         194   0.0617826   0.0618446 0.000165864
         195   0.0616593   0.0618436 0.000165016
         196   0.0620374   0.0618446 0.000164177
         197    0.061458   0.0618427 0.000163356
         198   0.0607326   0.0618371 0.000162627
         199   0.0605083   0.0618304 0.000161947
         200   0.0601785   0.0618221 0.000161347
         201   0.0602992   0.0618145 0.000160723
         202   0.0609171   0.0618101 0.000159988
         203   0.0606503   0.0618044 0.000159302
         204   0.0608921   0.0617999 0.000158584
         205   0.0619338   0.0618006 0.000157812
         206   0.0624127   0.0618035 0.000157074
         207   0.0624321   0.0618066 0.000156344
         208   0.0616146   0.0618057 0.000155595
         209   0.0624913   0.0618089 0.000154885
         210   0.0642687   0.0618206  0.00015459
         211   0.0652774    0.061837 0.000154723
         212   0.0634759   0.0618448 0.000154186
         213   0.0618481   0.0618448 0.000153462
         214   0.0615099   0.0618432 0.000152753
         215   0.0610795   0.0618397 0.000152084
         216   0.0618783   0.0618398  0.00015138
         217   0.0633639   0.0618469 0.000150845
         218   0.0630451   0.0618524 0.000150253
         219   0.0624377    0.061855 0.000149591
         220   0.0619946   0.0618557 0.000148912
         221   0.0614005   0.0618536 0.000148253
         222   0.0604561   0.0618473 0.000147719
         223   0.0609467   0.0618433 0.000147111
         224   0.0630952   0.0618489 0.000146561
         225    0.063172   0.0618547 0.000146027
         226   0.0623699    0.061857 0.000145399
         227   0.0626909   0.0618607 0.000144805
         228    0.062683   0.0618643 0.000144215
         229   0.0623203   0.0618663 0.000143599
         230   0.0619208   0.0618665 0.000142975
         231   0.0619332   0.0618668 0.000142356
         232   0.0626627   0.0618702 0.000141784
         233   0.0625262   0.0618731 0.000141203
         234   0.0618445   0.0618729   0.0001406
         235   0.0615164   0.0618714  0.00014001
         236   0.0608855   0.0618672 0.000139479
         237   0.0607186   0.0618624 0.000138974
         238   0.0612907     0.06186 0.000138411
         239   0.0623782   0.0618622 0.000137849
         240   0.0612278   0.0618595   0.0001373
         241   0.0605794   0.0618542 0.000136833
         242   0.0606362   0.0618492  0.00013636
         243   0.0597627   0.0618406 0.000136069
         244   0.0593046   0.0618302 0.000135908
         245   0.0601472   0.0618233 0.000135526
         246    0.061599   0.0618224 0.000134979
         247   0.0606044   0.0618175 0.000134522
         248   0.0606738   0.0618129 0.000134059
         249   0.0608648   0.0618091 0.000133574
         250   0.0604687   0.0618037 0.000133148
         251   0.0605112   0.0617986 0.000132717
         252   0.0601677   0.0617921 0.000132348
         253   0.0596739   0.0617837 0.000132089
         254   0.0597049   0.0617755 0.000131822
         255   0.0600919   0.0617689 0.000131471
         256   0.0609507   0.0617657 0.000130996
         257   0.0625523   0.0617688 0.000130522
         258   0.0630845   0.0617739 0.000130116
         259   0.0633569     0.06178 0.000129757
         260   0.0622733   0.0617819 0.000129272
         261    0.060565   0.0617772  0.00012886
         262   0.0604423   0.0617721 0.000128469
         263   0.0613943   0.0617707 0.000127989
         264   0.0612765   0.0617688 0.000127518
         265   0.0616397   0.0617683 0.000127037
         266   0.0615243   0.0617674 0.000126563
         267    0.060876   0.0617641 0.000126133
         268   0.0596105   0.0617561 0.000125918
         269   0.0594733   0.0617476 0.000125736
         270   0.0600803   0.0617414 0.000125422
         271   0.0600311   0.0617351 0.000125118
         272   0.0604896   0.0617305 0.000124741
         273   0.0618483   0.0617309 0.000124285
         274   0.0616027   0.0617305 0.000123832
         275   0.0616408   0.0617301 0.000123383
         276   0.0617576   0.0617302 0.000122936
         277   0.0610917   0.0617279 0.000122513
         278   0.0602239   0.0617225 0.000122192
         279   0.0607575   0.0617191 0.000121803
         280   0.0616026   0.0617186 0.000121369
         281   0.0616023   0.0617182 0.000120938
         282   0.0607308   0.0617147 0.000120559
         283   0.0606281   0.0617109 0.000120194
         284   0.0606547   0.0617072 0.000119829
         285   0.0608474   0.0617042 0.000119446
         286   0.0610348   0.0617018 0.000119052
         287   0.0614618    0.061701  0.00011864
         288    0.061425      0.0617 0.000118232
         289   0.0605993   0.0616962 0.000117884
         290   0.0609675   0.0616937 0.000117504
         291   0.0615037    0.061693 0.000117102
         292   0.0620552   0.0616943 0.000116708
         293    0.061643   0.0616941  0.00011631
         294   0.0612461   0.0616926 0.000115924
         295   0.0610695   0.0616905  0.00011555
         296   0.0613077   0.0616892 0.000115167
         297   0.0597495   0.0616827 0.000114964
         298   0.0596271   0.0616758 0.000114785
         299   0.0603854   0.0616714 0.000114482
         300   0.0614418   0.0616707 0.000114103
         301   0.0610574   0.0616686 0.000113743
         302    0.060945   0.0616662 0.000113391
         303   0.0602576   0.0616616 0.000113112
         304   0.0607521   0.0616586  0.00011278
