#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      0.8288      0.8288           0
           2           0      0.4144    0.293025
           3           0    0.276267    0.225571
           4           0      0.2072     0.17944
           5           0     0.16576     0.14826
           6           0    0.138133    0.126098
           7           0      0.1184    0.109617
           8           0      0.1036   0.0969089
           9           0   0.0920889   0.0868222
          10           0     0.08288   0.0786269
          11           0   0.0753455   0.0718391
          12           0   0.0690667   0.0661263
          13           0   0.0637538   0.0612527
          14           0      0.0592   0.0570465
          15           0   0.0552533   0.0533798
          16           0      0.0518   0.0501551
          17           0   0.0487529   0.0472973
          18           0   0.0460444   0.0447472
          19           0   0.0436211   0.0424576
          20           0     0.04144   0.0403907
