#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0970959   0.0970959           0
           2   0.0971209   0.0971084 8.84108e-06
           3   0.0971203   0.0971124 6.73028e-06
           4   0.0968834   0.0970551 4.98289e-05
           5   0.0969511   0.0970343 4.39946e-05
           6   0.0969879   0.0970266 3.73368e-05
           7   0.0970555   0.0970307 3.22304e-05
           8   0.0968924   0.0970134 3.25108e-05
           9   0.0970157   0.0970137 2.88995e-05
          10   0.0971312   0.0970254 2.82992e-05
          11   0.0970244   0.0970253 2.57267e-05
          12   0.0971224   0.0970334 2.48215e-05
          13   0.0970979   0.0970384 2.34031e-05
          14   0.0970179   0.0970369 2.17771e-05
          15   0.0968997   0.0970278 2.21647e-05
          16   0.0970307    0.097028 2.07802e-05
          17   0.0970408   0.0970287 1.95715e-05
          18   0.0969894   0.0970265 1.86054e-05
          19   0.0971685    0.097034  1.9068e-05
          20   0.0969239   0.0970285 1.88927e-05
