#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.94035     1.94035           0
           2     1.90204      1.9212   0.0135439
           3     1.92876     1.92372  0.00926112
           4     1.95671     1.93197  0.00996265
           5     1.94638     1.93485  0.00837655
           6     1.97208     1.94105  0.00898927
           7     1.96008     1.94377  0.00810578
           8     1.98973     1.94952  0.00889824
           9      1.9542     1.95004  0.00792475
          10     1.91865      1.9469  0.00772896
          11     1.92596     1.94499  0.00725701
          12     1.92452     1.94329  0.00684982
          13     1.91267     1.94093  0.00671568
          14     1.93856     1.94076  0.00623813
          15     1.97454     1.94302  0.00621548
          16     1.95009     1.94346  0.00584271
          17     1.91213     1.94161  0.00578237
          18     1.98854     1.94422  0.00602027
          19     1.93114     1.94353  0.00574265
          20     1.97562     1.94514  0.00567525
