Generation;	Mean Loss;	Best Loss
0;40.208;32.0241
10;18.8052;17.338
20;15.4678;14.8147
30;13.8931;13.4843
40;9.47253;8.72331
50;8.15681;7.79288
60;8.16456;7.40296
70;7.34365;6.45168
80;8.05733;6.45168
90;7.26294;6.22525
100;6.90912;6.22525
110;7.60147;6.22525
120;7.4732;6.22525
130;7.33027;6.22525
140;6.95619;6.22525
150;6.76063;6.22525
160;6.75083;6.22525
170;6.87348;6.22525
180;7.4797;6.22525
190;7.11446;6.22525
200;7.22447;6.22525
210;7.74642;6.22525
220;7.56078;6.22525
230;6.98944;6.22525
240;7.17046;6.22525
250;7.26318;6.22525
260;7.73335;6.22525
270;7.30408;6.22525
280;8.03433;6.22525
290;7.26449;6.22525
300;7.08153;6.22525
310;7.48008;6.22525
320;6.93146;6.22525
330;7.28894;6.22525
340;7.58664;6.22525
350;6.95752;6.22525
360;7.55251;6.22525
370;7.75157;6.22525
380;7.20082;6.22525
390;7.2185;6.22525
400;7.70159;6.22525
410;7.43193;6.22525
420;7.66756;6.22525
430;7.85621;6.22525
440;7.76668;6.22525
450;7.33166;6.22525
460;7.12318;6.22525
470;7.50956;6.22525
480;6.73272;6.22525
490;6.86919;6.22525
