Generation;	Mean Loss;	Best Loss
0;451.512;422.271
50;184.53;173.149
100;143.389;136.387
150;120.469;109.295
200;110.272;97.0691
250;99.1743;92.0195
300;101.736;88.3978
350;99.4305;87.5533
400;86.5024;76.4965
450;86.0669;76.2439
500;85.4759;75.3988
550;86.3052;74.8078
600;85.8858;74.5104
650;85.0131;73.9828
700;83.0957;73.9828
750;87.2525;73.2824
800;85.3286;73.066
850;82.7178;72.6138
900;84.048;72.6138
950;83.4844;72.2765
1000;83.9241;72.2765
1050;84.67;71.4598
1100;83.4295;71.3053
1150;82.0925;71.1732
1200;84.903;71.1732
1250;83.9432;71.1732
1300;84.1538;71.1732
1350;82.9421;71.0957
1400;78.3373;70.4068
1450;84.3131;70.4068
1500;83.3459;70.4068
