Generation;	Mean Loss;	Best Loss
0;35.1339;30.1456
10;19.063;18.2486
20;17.2916;16.5827
30;14.1194;13.4293
40;11.467;11.3215
50;12.3193;11.3118
60;12.21;11.1974
70;10.8795;10.7604
80;11.6213;10.7604
90;11.7632;10.7604
100;11.3766;10.5904
110;11.6048;10.5904
120;11.6729;10.5904
130;11.4873;10.5904
140;11.3295;10.5904
150;11.3852;10.5757
160;11.3223;10.3365
170;11.2182;10.3365
180;11.2264;10.3365
190;11.0736;10.3365
200;11.0004;10.3365
210;11.3502;10.3365
220;10.897;10.3365
230;11.0628;10.3365
240;11.2511;10.3365
250;10.8511;10.3365
260;11.4286;10.3365
270;11.4715;10.3365
280;11.251;10.3365
290;10.8907;10.3365
300;11.2249;10.3365
310;11.3476;10.3365
320;10.9858;10.3365
330;11.0114;10.3365
340;11.0834;10.1454
350;10.567;10.1454
360;10.6667;10.1454
370;11.1259;10.1454
380;11.0264;10.1454
390;11.4497;10.1454
400;11.4041;10.1454
410;11.4867;10.1454
420;11.1316;10.1454
430;11.2774;10.1454
440;10.815;10.1454
450;11.235;10.1454
460;11.2342;10.1454
470;11.135;10.1454
480;10.6388;10.1454
490;10.9725;10.1454
