Generation;	Mean Loss;	Best Loss
0;35.1339;30.1456
10;20.929;19.7531
20;18.3825;17.7674
30;16.1535;15.666
40;13.8113;13.3925
50;13.3184;12.7246
60;13.6323;12.6537
70;13.3464;12.4435
80;13.2254;12.3702
90;11.5506;11.3693
100;12.3153;11.2613
110;12.3393;11.2613
120;11.8711;11.1864
130;11.6895;10.9718
140;11.8424;10.9718
150;11.1708;10.5234
160;11.2786;10.5234
170;11.7922;10.5234
180;11.7173;10.4791
190;11.1235;10.3353
200;10.869;10.2674
210;11.5633;10.2356
220;11.3813;10.2259
230;11.2557;10.2259
240;11.1346;10.1922
250;11.1803;10.1922
260;10.7796;10.1457
270;10.5511;10.1457
280;11.8126;10.1457
290;11.7413;10.1457
300;11.1117;10.1457
310;11.3202;10.1457
320;10.9184;10.1457
330;11.1054;10.1457
340;10.7049;10.1457
350;10.8859;10.1457
360;10.8512;10.1457
370;11.0987;10.1457
380;10.9409;10.1457
390;11.5471;10.1457
400;11.4837;10.1457
410;11.1169;10.1457
420;11.3866;10.1457
430;10.851;10.1457
440;11.4225;10.1457
450;11.0216;10.1457
460;11.1875;10.1457
470;11.0662;10.1457
480;11.102;10.1457
490;11.6599;10.1457
