#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     49.9553     49.9553           0
           2          50     49.9776   0.0158152
           3          50     49.9851   0.0121745
           4          50     49.9888  0.00968476
           5          50     49.9911   0.0080019
           6          50     49.9925  0.00680576
           7          50     49.9936  0.00591625
           8          50     49.9944  0.00523037
           9          50      49.995  0.00468597
          10          50     49.9955  0.00424365
          11          50     49.9959   0.0038773
          12          50     49.9963  0.00356897
          13          50     49.9966  0.00330593
          14          50     49.9968  0.00307892
          15          50      49.997  0.00288101
          16          50     49.9972  0.00270697
          17          50     49.9974  0.00255273
          18          50     49.9975  0.00241509
          19          50     49.9976  0.00229152
          20          50     49.9978  0.00217997
